0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Air Freight & Logistics,Total Non-Control/Non-Affiliate Investments (Level 3),-,Principal Value,3951787,-,2986,3680532,-,110.0%,170.9%,-,0.1%,0,-,-,0,0
Aerospace & Defense,-,47099,-,-,-,-,-,-,-,288,-,0.1%,0,32202,79301,2.4,%
Commercial Services & Supplies,60364,47099,-,-,-,-,5716,-,5715,288,71795,0.1%,2.1,%,0,0,0
Construction & Engineering,37722,47099,-,-,-,-,-,-,4740,288,42462,0.1%,1.3,%,0,0,0
Consumer Finance,-,47099,341435,-,-,-,-,-,201163,288,542598,0.1%,16.2,%,0,0,0
"Electronic Equipment, Instruments & Components",20700,47099,-,-,-,-,-,-,15557,288,36257,0.1%,1.1,%,0,0,0
Energy Equipment & Services,35048,47099,-,-,-,-,-,-,96899,288,131947,0.1%,3.9,%,0,0,0
Equity Real Estate  Investment Trusts  (REITs),293203,47099,-,-,-,-,-,-,440423,288,733626,0.1%,21.9,%,0,0,0
Machinery,-,47099,28622,-,-,-,-,-,2403,288,31025,0.1%,0.9,%,0,0,0
Media,10614,47099,-,-,-,-,-,-,9835,288,20449,0.1%,0.6,%,0,0,0
Online Lending,276549,47099,-,-,-,-,-,-,20975,288,297524,0.1%,8.9,%,0,0,0
Diversified Consumer Services,23.3,-,11.1,%,7834,%,0.2,-,24.8,%,25093,%,8.9,-,32927,1.0,%
"Textiles, Apparel & Luxury Goods",-,-,-,%,-,%,-,-,19361,%,19361,%,0.6,%,0,0,0
Air Freight & Logistics,-,-,0.2,%,-,%,0.7,-,0.6,%,-,%,0.6,-,-,-,%
Building Products,-,-,10000,%,-,%,-,-,-,33708,10000,1.0,0.3,%,0,0,0
Capital Markets,-,-,20000,%,-,%,-,-,-,33708,20000,1.0,0.6,%,0,0,0
Chemicals,-,-,17500,%,-,%,-,-,-,33708,17500,1.0,0.5,%,0,0,0
Commercial Services & Supplies,106515,-,162593,%,-,%,-,-,900,33708,270008,1.0,8.1,%,0,0,0
Communications Equipment,-,-,40000,%,-,%,-,-,-,33708,40000,1.0,1.2,%,0,0,0
Consumer Finance,33296,-,-,%,-,%,-,-,-,33708,33296,1.0,1.0,%,0,0,0
Distributors,525400,-,47780,%,-,%,-,-,-,33708,573180,1.0,17.1,%,0,0,0
Diversified Consumer Services,10000,-,118289,%,-,%,-,-,-,33708,128289,1.0,3.8,%,0,0,0
"Electronic Equipment, Instruments & Components",11518,-,14866,%,-,%,-,-,-,33708,26384,1.0,0.8,%,0,0,0
Energy Equipment & Services,31025,-,-,%,-,%,-,-,-,33708,31025,1.0,0.9,%,0,0,0
Food Products,-,-,9880,%,-,%,-,-,-,33708,9880,1.0,0.3,%,0,0,0
Health Care Equipment & Supplies,31250,-,7500,%,-,%,-,-,-,33708,38750,1.0,1.2,%,0,0,0
Health Care Providers & Services,355580,-,77359,%,-,%,-,-,506,33708,433445,1.0,13.0,%,0,0,0
Health Care Technology,-,-,15300,%,-,%,-,-,-,33708,15300,1.0,0.5,%,0,0,0
"Hotels, Restaurants & Leisure",30000,-,7482,%,-,%,-,-,-,33708,37482,1.0,1.1,%,0,0,0
Household & Personal Products,25000,-,-,%,-,%,-,-,-,33708,25000,1.0,0.7,%,0,0,0
Household Durables,16155,-,28600,%,-,%,-,-,-,33708,44755,1.0,1.3,%,0,0,0
Insurance,-,-,2986,%,-,%,-,-,-,33708,2986,1.0,0.1,%,0,0,0
Internet & Direct Marketing Retail,4875,-,35000,%,-,%,-,-,-,33708,39875,1.0,1.2,%,0,0,0
IT Services,-,-,21990,%,-,%,-,-,-,33708,21990,1.0,0.7,%,0,0,0
Leisure Products,38107,-,11000,%,-,%,-,-,-,33708,49107,1.0,1.5,%,0,0,0
Marine (A),-,-,8879,%,-,%,-,-,-,33708,8879,1.0,0.3,%,0,0,0
Media,101461,-,2974,%,-,%,-,-,-,33708,104435,1.0,3.1,%,0,0,0
Metals & Mining,-,-,-,%,-,%,-,-,-,33708,-,1.0,-,%,0,0,0
Online Lending,-,-,-,%,-,%,199,-,-,33708,199,1.0,-,%,0,0,0
Paper & Forest Products,-,-,11500,%,-,%,-,-,-,33708,11500,1.0,0.3,%,0,0,0
Personal Products,183151,-,-,%,-,%,-,-,-,33708,183151,1.0,5.5,%,0,0,0
Pharmaceuticals,-,-,12000,%,-,%,-,-,-,33708,12000,1.0,0.4,%,0,0,0
Professional Services,9649,-,65514,%,-,%,-,-,-,33708,75163,1.0,2.2,%,0,0,0
Real Estate Management & Development,42000,-,-,%,-,%,-,-,-,33708,42000,1.0,1.3,%,0,0,0
Software,-,-,55971,%,-,%,-,-,-,33708,55971,1.0,1.7,%,0,0,0
"Technology Hardware, Storage & Peripherals",-,-,12500,%,-,%,-,-,-,33708,12500,1.0,0.4,%,0,0,0
