0,1,2,3,4,5,6,7,8,9,10,11,12
"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",0,"$ 28,900",0,"$ 28,900",0,"$ 28,900",0,1.1%
"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",0,12500,0,12500,0,12500,0,0.5%
"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,"Convertible Preferred Stock (9,919.684 shares)",0,12500,0,9920,0,9920,0,0.4%
"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,Common Stock (100 shares),0,12500,0,-,0,374,0,0.0%
"AIRMALL USA, Inc.  (27)",0,Pennsylvania / Property Management,0,Common Stock (100 shares),0,12500,0,51320,0,51694,0,2.0%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 4/01/2013)  (3), (4)",0,19837,0,19837,0,19837,0,0.8%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Subordinated Secured Note - Tranche B (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 4/01/2013)  (3), (4)",0,15035,0,15035,0,15035,0,0.6%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Subordinated Unsecured Note (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 12/31/2017)  (4)",0,3600,0,3600,0,3600,0,0.1%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,"Convertible Preferred Stock - Series A (6,142.6 shares)",0,3600,0,6057,0,-,0,0.0%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,Unrestricted Common Stock (6 shares),0,3600,0,-,0,-,0,0.0%
"Ajax Rolled Ring & Machine, Inc.",0,South Carolina / Manufacturing,0,Unrestricted Common Stock (6 shares),0,3600,0,44529,0,38472,0,1.5%
"APH Property Holdings, LLC  (32)",0,Georgia / Real Estate,0,"Senior Secured Note (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor) plus 2.00% PIK, due 10/24/2020)  (4)",0,40018,0,40018,0,40018,0,1.6%
"APH Property Holdings, LLC  (32)",0,Georgia / Real Estate,0,"Common Stock (17,400 shares)",0,40018,0,7750,0,7750,0,0.3%
"APH Property Holdings, LLC  (32)",0,Georgia / Real Estate,0,"Common Stock (17,400 shares)",0,40018,0,47768,0,47768,0,1.9%
"AWCNC, LLC  (19)",0,North Carolina / Machinery,0,"Members Units - Class A (1,800,000 units)",0,40018,0,-,0,-,0,0.0%
"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class A (1,800,000 units)",0,40018,-,-,-,0,0.0%,0
"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class B-2 (7,999,999 units)",0,40018,-,-,0,-,0,0.0%
"AWCNC, LLC  (19)",0,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class B-2 (7,999,999 units)",0,40018,-,-,0,-,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",0,1150,-,1095,0,480,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",0,1612,-,1501,0,-,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",0,9641,-,706,0,-,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),Common Stock (100 shares)  (21),0,9641,-,-,0,-,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Warrants (33,750 warrants)  (21)",0,9641,-,-,0,-,0,0.0%
"Borga, Inc.",0,California / Manufacturing,Members Units - Class B-1 (1 unit),"Warrants (33,750 warrants)  (21)",0,9641,-,3302,0,480,0,0.0%
Portfolio Company,0,Locale / Industry,Members Units - Class B-1 (1 unit),Investments  (1),0,Principal  Value,-,Cost,0,Fair  Value  (2),0,% of Net  Assets
CCPI Holdings Inc.  (33),0,Ohio / Manufacturing,Members Units - Class B-1 (1 unit),"Senior Secured Note (10.00%, due 12/31/2017)",0,"$ 17,775",-,"$ 17,775",0,"$ 17,775",0,0.7%
CCPI Holdings Inc.  (33),0,Ohio / Manufacturing,Members Units - Class B-1 (1 unit),"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",0,7526,-,7526,0,7526,0,0.3%
CCPI Holdings Inc.  (33),0,Ohio / Manufacturing,Members Units - Class B-1 (1 unit),Common Stock (100 shares),0,7526,-,8581,0,8581,0,0.3%
CCPI Holdings Inc.  (33),0,Ohio / Manufacturing,Members Units - Class B-1 (1 unit),Net Revenue Interest (4% of Net Revenue),0,7526,-,-,0,-,0,0.0%
CCPI Holdings Inc.  (33),0,Ohio / Manufacturing,Members Units - Class B-1 (1 unit),Net Revenue Interest (4% of Net Revenue),0,7526,-,33882,0,33882,0,1.3%
"Credit Central Holdings of Delaware, LLC  (22), (34)",0,Ohio / Consumer Finance,Members Units - Class B-1 (1 unit),"Senior Secured Revolving Credit Facility - $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2020)  (4), (25)",0,38082,-,38082,0,38082,0,1.5%
"Credit Central Holdings of Delaware, LLC  (22), (34)",0,Ohio / Consumer Finance,Members Units - Class B-1 (1 unit),Common Stock (100 shares),0,38082,-,9581,0,7342,0,0.3%
"Credit Central Holdings of Delaware, LLC  (22), (34)",0,Ohio / Consumer Finance,Members Units - Class B-1 (1 unit),Net Revenue Interest (5% of Net Revenue),0,38082,-,-,0,2907,0,0.1%
"Credit Central Holdings of Delaware, LLC  (22), (34)",0,Ohio / Consumer Finance,Members Units - Class B-1 (1 unit),Net Revenue Interest (5% of Net Revenue),0,38082,-,47663,0,48331,0,1.9%
"Energy Solutions Holdings, Inc.  (8)",0,Texas / Gas Gathering and Processing,Members Units - Class B-1 (1 unit),"Senior Secured Note (18.00%, due 12/11/2016)",0,750,-,750,0,750,0,0.0%
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Members Units - Class B-1 (1 unit),12000,0,12000,-,12000,0,0.5%,0,0
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Members Units - Class B-1 (1 unit),"Senior Secured Note to Vessel Holdings LLC (18.00%, due 12/12/2016)",0,3500,-,3500,0,3500,0,0.1%
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Members Units - Class B-1 (1 unit),"Subordinated Secured Note to Freedom Marine Holdings, LLC (12.00% (LIBOR + 6.11% with 5.89% LIBOR floor) plus 4.00% PIK, in non-accrual status effective 10/1/2010, due 12/31/2011)  (4)",0,13765,-,12503,0,5134,0,0.2%
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Members Units - Class B-1 (1 unit),"Senior Secured Debt to Yatesville Coal Holdings, Inc. (Non-accrual status effective 1/1/2009, past due)",0,1449,-,1449,0,-,0,0.0%
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Members Units - Class B-1 (1 unit),Escrow Receivable,0,1449,-,-,0,-,0,0.0%
"Energy Solutions Holdings, Inc.  (8)",0,"Junior Secured Note (18.00%, due 12/12/2016)",Common Stock (100 shares),Escrow Receivable,0,1449,8318,-,9558,0,0.4%,0
