0,1,2,3,4,5,6,7,8,9,10,11
"AMU Holdings, Inc.(27)",Pennsylvania / Property Management,"Senior Secured Term Loan to AIRMALL USA Holdings, Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",0,27734,0,0,27734,0,0,27734.0,0.8%
"Common Stock of AMU Holdings, Inc. (100 shares)",19993,-,19993,57647,19993,47961,0.5%,1.3%,0,0,0
"APH Property  Holdings, LLC(32)",Florida /  Real Estate,"Senior Term Loan to APH Property Holdings, LLC (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",167162,57647,167162,47961,167162,0,4.7%,0,0
"Membership Interest in APH Property Holdings, LLC",Florida /  Real Estate,33304,167162,200466,167162,202404,167162,5.7%,0,0,0
ARRM Holdings Inc.(42),South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19437,200466,19437,202404,18978,0,0.5%,0,0
Common Stock of ARRM Holdings Inc. (6.00 shares),South Carolina / Manufacturing,-,19437,50494,19437,18978,18978,0.5%,0,0,0
"AWCNC, LLC(19)",North Carolina / Machinery,"Members Units – Class A (1,800,000 units)",19437,-,19437,-,18978,-%,0,0,0
"Members Units – Class B-2 (7,999,999 units)",North Carolina / Machinery,-,19437,-,19437,-,18978,-%,0,0,0
BXC Holding  Company(20),"Georgia /  Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A to Boxercraft Incorporated (10.00% plus 1.00% PIK, in non-accrual status effective 1/1/2014, due 9/15/2015)",1625,-,1621,-,1625,0,-%,0,0
"Warrant (to purchase 15% of all classes of equity of BXC Holding Company, expires 8/31/2022)",8389,-,8228,17149,-,3337,-%,0.1%,0,0,0
CCPI Holdings Inc.(33),Ohio / Manufacturing,"Senior Secured Note to CCPI Inc. (10.00%, due 12/31/2017)(3)",Principal Value,17325,Fair  Value(2),% of Net Assets,17325,0,0,17325.0,0.5%
Net Revenue Interest in CCPI Holdings Inc.  (4% of Net Revenue),8216,-,8216,34122,8216,33833,0.2%,0.9%,0,0,0
CP Holdings  of Delaware LLC(38),Oklahoma /  Oil & Gas Production,"Senior Secured Note to CP Energy Services Inc. (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 8/2/2018)(4)",75773,34122,75773,33833,75773,0,2.1%,0,0
Membership Interest in CP Holdings of Delaware LLC,22500,15228,22500,113501,22500,119630,0.6%,3.3%,0,0,0
"Credit Central Holdings of Delaware, LLC(22)(34)",Ohio /  Consumer Finance,"Senior Secured Revolving Credit Facility to Credit Central Holdings of Delaware, LLC – $60,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 12/31/2022)(4)(25)",40207,113501,40207,119630,40207,0,1.1%,0,0
"Net Revenue Interest in Credit Central Holdings of Delaware, LLC (5% of Net Revenue)",Ohio /  Consumer Finance,-,40207,50163,40207,48794,40207,1.4%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Revolving Credit Facility to Echelon Aviation LLC – $150,000 Commitment (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",78521,50163,78521,48794,78521,0,2.2%,0,0
Membership Interest in Echelon Aviation LLC,New York / Aerospace & Defense,14107,78521,92628,78521,92628,78521,2.6%,0,0,0
Energy Solutions Holdings Inc.(8),Texas / Energy,"Senior Secured Note to Vessel Holdings, LLC (18.00%, due 12/12/2016)",3500,92628,3500,92628,3500,0,0.1%,0,0
Common Stock of Energy Solutions Holdings Inc. (100 shares),1449,8293,1449,41746,-,34909,-%,1.0%,0,0,0
First Tower Holdings of Delaware LLC(22)(29),Mississippi / Consumer Finance,"Senior Secured Revolving Credit Facility to First Tower Holdings of Delaware LLC – $400,000 Commitment (20.00% (LIBOR + 18.50% with 1.50% LIBOR floor), due 6/30/2022)(4)(25)",273260,41746,273260,34909,273260,0,7.7%,0,0
Net Revenue Interest in First Tower Holdings of Delaware LLC (5% of Net Revenue),Mississippi / Consumer Finance,-,273260,317953,273260,330563,273260,9.3%,0,0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan to Gulf Coast Machine & Supply Company (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)(4)",Principal Value,17500,Fair  Value(2),% of Net Assets,17500,0,0,11842.0,0.3%
"Series A Convertible Preferred Stock of Gulf Coast Machine & Supply Company (99,900 shares)",Texas / Manufacturing,25950,Principal Value,43450,Fair  Value(2),11842,17500,0.3%,0,0,0
Harbortouch Holdings  of Delaware Inc.(44),Pennsylvania / Business Services,"Senior Secured Term Loan to Harbortouch Payments, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(4)",130796,43450,130796,11842,130796,0,3.7%,0,0
Net Revenue Interest in Harbortouch Holdings of Delaware Inc. (5% of Net Revenue),123000,-,123000,278694,123000,278694,3.4%,7.8%,0,0,0
"The Healing Staff, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (joint borrowers) (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,278694,1686,278694,-,0,-%,0,0
"Common Stock of The Healing Staff, Inc.  (1,000 shares)",1170,975,1170,3831,-,-,-%,-%,0,0,0
