0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Health Care Providers & Services,Total Non-Control/Non-Affiliate Investments (Level 3),244359,12/1/2017,3437174,-,2988,3214915,-,96.5%,171.1%,-,0,-%,-,0,0,-,244359.0,0.0,0
Distributors,63375,-,-,3437174,127091,2988,-,-,-,171.1%,-,0,63375,-,0,0,-,127091.0,0.0,0
Air Freight & Logistics,-,-,-,3437174,12322,2988,-,-,-,171.1%,-,0,7154,-,0,0,-,12322.0,0.0,0
Aerospace & Defense,-,54191,-,3437174,-,2988,1099133,-,-,171.1%,-,0,1143916,-,0,0,35419,89610.0,2.7,%
Distributors,35.6,-,11.2,%,35697,%,-,-,-,%,-,%,71.9,-,0.9,%,-,35697.0,1.1,%
Air Freight & Logistics,-,-,1.3,%,12704,%,-,-,0.8,%,-,%,2.7,-,0.6,%,-,12704.0,0.4,%
Leisure Products,271819,29319,31487,%,10968,%,-,-,-,%,-,%,303306,-,9.1,%,-,40287.0,1.2,%
Capital Markets,76.2,-,40.5,%,19799,%,26.4,-,0.8,%,-,%,171.1,-,27.9,%,-,19799.0,0.0,0
Consumer Finance,-,-,-,%,342331,%,1096768,-,-,%,-,%,1102927,-,27.9,%,211209,553540.0,16.2,%
Diversified Consumer Services,32.2,-,10.9,%,7834,%,-,-,0.2,%,-,%,70.6,27382,4.9,%,-,35216.0,1.0,%
Auto Components,-,-,0.2,%,12887,%,-,-,0.8,%,-,%,1.7,-,0.7,%,-,12887.0,0.4,%
"Technology Hardware, Storage & Peripherals",-,-,67265,%,12500,%,-,-,-,%,-,%,67265,-,2.0,%,-,12500.0,0.4,%
