0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Distributors,63213,-,-,%,127091,%,-,-,-,%,-,%,63213,-,0.0,0,-,127091.0
Air Freight & Logistics,-,-,-,%,12500,%,-,-,-,%,-,%,3771,-,0.0,0,-,12500.0
Household Durables,10252,-,12208,%,-,%,-,-,-,%,-,%,22460,-,0.7,%,0,0.0
Household Products,24688,-,-,%,-,%,-,-,-,%,-,%,24688,-,0.7,%,0,0.0
Insurance,-,-,12988,%,-,%,-,-,-,%,-,%,12988,-,0.4,%,0,0.0
Interactive Media & Services,37861,-,-,%,-,%,-,-,-,%,-,%,37861,-,1.1,%,0,0.0
IT Services,269657,-,35703,%,-,%,-,-,-,%,-,%,305360,-,9.2,%,0,0.0
Leisure Products,32868,-,-,%,-,%,-,-,-,%,-,%,32868,-,1.0,%,0,0.0
Media,86704,-,30580,%,-,%,-,-,-,%,-,%,117284,-,3.5,%,0,0.0
Paper & Forest Products,-,-,11500,%,-,%,-,-,-,%,-,%,11500,-,0.3,%,0,0.0
Professional Services,118813,-,71365,%,-,%,-,-,-,%,-,%,190178,-,5.8,%,0,0.0
Real Estate Management & Development,38852,-,-,%,-,%,-,-,-,%,-,%,38852,-,1.2,%,0,0.0
Software,-,-,64729,%,-,%,-,-,-,%,-,%,64729,-,2.0,%,0,0.0
"Technology Hardware, Storage & Peripherals",-,-,12400,%,-,%,-,-,-,%,-,%,12400,-,0.4,%,0,0.0
"Textiles, Apparel & Luxury Goods",189725,-,36657,%,-,%,-,-,-,%,-,%,226382,-,6.8,%,0,0.0
Tobacco,-,-,14500,%,-,%,-,-,-,%,-,%,14500,-,0.4,%,0,0.0
Transportation Infrastructure,-,-,28104,%,-,%,-,-,-,%,-,%,28104,-,0.9,%,0,0.0
Structured Finance (A),-,-,-,%,46851,%,850694,-,-,%,-,%,897545,-,27.1,%,0,0.0
