0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,Portfolio Company,0,Locale / Industry,0,Investments  (1),0,Principal  Value,0,Cost,0,Fair  Value  (2),0,% of Net  Assets,0
"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",Investments  (1),"$ 28,600",Principal  Value,"$ 28,600",Cost,"$ 28,600",0,1.0%,0,0
"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",Investments  (1),12500,Principal  Value,12500,Cost,12500,0,0.4%,0,0
"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Convertible Preferred Stock (9,919.684 shares)",Investments  (1),12500,Principal  Value,9920,Cost,8920,0,0.3%,0,0
"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,Common Stock (100 shares),Investments  (1),12500,Principal  Value,-,Cost,1391,0,0.1%,0,0
"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,Common Stock (100 shares),Investments  (1),12500,Principal  Value,51020,Cost,51411,0,1.8%,0,0
"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",Investments  (1),19636,Principal  Value,19636,Cost,19636,0,0.7%,0,0
"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Subordinated Unsecured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 3/30/2018)  (4)",Investments  (1),20008,Principal  Value,20008,Cost,8448,0,0.3%,0,0
"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Convertible Preferred Stock - Series A (6,142.6 shares)",Investments  (1),20008,Principal  Value,6057,Cost,-,0,0.0%,0,0
"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,Unrestricted Common Stock (6 shares),Investments  (1),20008,Principal  Value,-,Cost,-,0,0.0%,0,0
"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,Unrestricted Common Stock (6 shares),Investments  (1),20008,Principal  Value,45701,Cost,28084,0,1.0%,0,0
"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",Investments  (1),127374,Principal  Value,127374,Cost,127374,0,4.4%,0,0
"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Common Stock (148,951 shares)",Investments  (1),127374,Principal  Value,26648,Cost,26648,0,0.9%,0,0
"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Common Stock (148,951 shares)",Investments  (1),127374,Principal  Value,154022,Cost,154022,0,5.3%,0,0
"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class A (1,800,000 units)",Investments  (1),127374,Principal  Value,-,Cost,-,0,0.0%,0,0
"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,Members Units - Class B-1 (1 unit),Investments  (1),127374,Principal  Value,-,Cost,-,0,0.0%,0,0
"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class B-2 (7,999,999 units)",Investments  (1),127374,Principal  Value,-,Cost,-,0,0.0%,0,0
"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class B-2 (7,999,999 units)",Investments  (1),127374,Principal  Value,-,Cost,-,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",Investments  (1),1150,Principal  Value,1095,Cost,562,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",Investments  (1),1612,Principal  Value,1501,Cost,-,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",Investments  (1),9839,Principal  Value,707,Cost,-,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,Common Stock (100 shares)  (21),Investments  (1),9839,Principal  Value,-,Cost,-,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,"Warrants (33,750 warrants)  (21)",Investments  (1),9839,Principal  Value,-,Cost,-,0,0.0%,0,0
"Borga, Inc.",Portfolio Company,California / Manufacturing,Locale / Industry,"Warrants (33,750 warrants)  (21)",Investments  (1),9839,Principal  Value,3303,Cost,562,0,0.0%,0,0
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,"Senior Secured Note (10.00%, due 12/31/2017)  (3)",Investments  (1),17550,Principal  Value,17550,Cost,17550,0,0.6%,0,0
CCPI Holdings Inc.  (33),Portfolio Company,Ohio / Manufacturing,Locale / Industry,"Senior Secured Note (12.00% plus 7.00% PIK, due 6/30/2018)",Investments  (1),7933,Principal  Value,7933,Cost,7933,0,0.3%,0,0
