0,1,2,3,4,5,6,7,8,9,10,11
American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",0,78635,0,0,78635,0,0,78635.0,2.2%
Net Operating Income Interest (5% of Net Operating Income),Various / Real Estate,-,0,101547,0,120348,78635,3.3%,0,0.0,0
"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,Class D Units (32915.09 units),0,31640,0,32915,78635,1.0%,0,0.0,0
Class C Units (10 units),Wyoming / Oil & Gas Services,-,0,60876,0,56340,78635,1.6%,0,0.0,0
CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12650,60876,12650,56340,12650,0,0.4%,0.0,0
"Common Stock (14,857 shares)",9000,6636,9000,28286,9000,36406,0.2%,1.0%,0,0.0,0
CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), in non-accrual status effective 9/30/2015, due 4/1/2019)(4)(20)",11035,28286,11035,36406,11035,0,0.3%,0.0,0
"Common Stock (2,924 shares)",15924,15227,15000,113500,-,82861,-%,2.3%,0,0.0,0
"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,113500,36333,82861,36333,0,1.1%,0.0,0
Net Revenues Interest (25% of Net Revenues)(22),South Carolina / Consumer Finance,-,11633,47966,16110,56509,0.4%,1.6%,0,0.0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,47966,40808,56509,40808,0,1.2%,0.0,0
Membership Interest (99%),New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",19907,60715,19745,60553,0.5%,1.7%,0,0.0,0
"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(25)(26)",-,60715,-,60553,-,0,-%,0.0,0
"Class A Common Units (370,964.14 units)",26746,6577,20249,32774,19868,32320,0.5%,0.9%,0,0.0,0
First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",Principal Value,251246,Fair  Value(2),% of Net Assets,251246,0,0,251246.0,7.0%
"Class A Shares (83,729,323 shares)(22)",Mississippi / Consumer Finance,66473,Principal Value,317719,Fair  Value(2),363624,251246,10.1%,0,0.0,0
"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,317719,3500,363624,3500,0,0.1%,0.0,0
Membership Interest (100%),16000,7808,16000,39812,13794,27097,0.4%,0.7%,0,0.0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(20)",30535,39812,28925,27097,8896,0,0.2%,0.0,0
"Series A Convertible Preferred Stock (99,900 shares)",Texas / Manufacturing,25950,30535,54875,28925,8896,8896,0.2%,0,0.0,0
"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(20)",128820,54875,128820,8896,128820,0,3.6%,0.0,0
Class C Shares (535 shares),21762,8712,21762,304172,21762,358359,0.6%,9.9%,0,0.0,0
"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(20)",18250,304172,18250,358359,18250,0,0.5%,0.0,0
"Common Stock (42,053 shares)",7200,6849,7200,48741,5496,52449,0.2%,1.5%,0,0.0,0
