0,1,2,3,4,5,6,7,8,9,10,11,12
"Arctic Energy Services, LLC(15)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",0,0,31640,0,0,20167,0,0.6%,0,0
CCPI Inc.(16),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12200,60876,12200,20167,12200,0.6%,0.4%,0,0,0
"Credit Central Loan Company, LLC(18)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(13)(39)",50510,113500,42989,76002,50510,2.2%,1.5%,0,0,0
Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(12)(39)",31055,56720,31055,63920,31055,1.9%,0.9%,0,0,0
"Edmentum Ultimate Holdings, LLC(19)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(14)",-,50962,-,55043,-,1.6%,-%,0,0,0
First Tower Finance Company LLC(20),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(13)(39)",256578,36128,256578,35485,256578,1.0%,7.5%,0,0,0
Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(10)(11)",38906,41411,33403,26671,7394,0.8%,0.2%,0,0,0
"MITY, Inc.(22)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(10)(11)",Principal Value,18250,Fair  Value(2),% of Net Assets,18250,0.2%,0,18250.0,0,0.5%
National Property REIT Corp.(23),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(39)",283972,48741,283972,53515,283972,1.6%,8.3%,0,0,0
Nationwide Loan Company LLC(24),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(13)(39)",16819,832561,16819,979990,16819,28.5%,0.5%,0,0,0
"NMMB, Inc.(25)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,33111,3714,37509,3404,1.1%,0.1%,0,0,0
"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(10)(11)",28622,23583,28622,9883,28622,0.3%,0.8%,0,0,0
USES Corp.(26),Texas / Commercial Services,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 3/31/2019)",26683,35390,26158,35215,26683,1.0%,0.8%,0,0,0
"Valley Electric Company, Inc.(27)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2019)(3)(10)(11)(39)",Principal Value,10430,Fair  Value(2),% of Net Assets,10430,1.2%,0,10430.0,0,0.3%
"Wolf Energy, LLC",Kansas / Oil & Gas Production,"Senior Secured Promissory Note secured by assets formerly owned by H&M (18.00%, in non-accrual status effective 4/15/2013, due 4/15/2018)",38257,60833,-,30531,-,0.9%,-%,0,0,0
"AFI Shareholder, LLC  (f/k/a Aircraft Fasteners International, LLC)",California / Machinery,"Class A Units (32,500 units)",Principal Value,Amortized Cost,309,% of Net Assets,54.3%,617,0,-%,0,0
"ALG USA Holdings, LLC","Pennsylvania / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 2/28/2020)(8)(10)(11)",11771,309,11640,617,11771,-%,0.3%,0,0,0
Apidos CLO IX,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.72%, due 7/15/2023)(5)(13)",23525,-,19651,-,18919,-%,0.6%,0,0,0
Apidos CLO XI,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 11.36%, due 1/17/2023)(5)(13)",38340,19651,29137,18919,25439,0.6%,0.7%,0,0,0
Apidos CLO XII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.25%, due 4/15/2025)(5)(13)",44063,29137,33470,25439,29888,0.7%,0.9%,0,0,0
Apidos CLO XV,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.22%, due 10/20/2025)(5)(13)",36515,33470,30624,29888,24264,0.9%,0.7%,0,0,0
Apidos CLO XXII,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.19%, due 10/20/2027)(5)(6)(13)",31350,30624,26735,24264,24751,0.7%,0.7%,0,0,0
"Arctic Glacier U.S.A., Inc.",Minnesota / Food Products,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 11/10/2019)(3)(10)(11)",150000,26735,150000,24751,149324,0.7%,4.3%,0,0,0
"Ark-La-Tex Wireline Services, LLC",Louisiana / Oil & Gas Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), in non-accrual status effective 4/1/2016, due 4/8/2019)(10)(12)",21322,150000,20706,149324,149324,9568,0,0.3%,0,0
Armor Holding II LLC,New York / Diversified Financial Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 12/26/2020)(3)(8)(10)(11)",7000,43945,6912,9568,6912,0.3%,0.2%,0,0,0
"Atlantis Health Care Group (Puerto Rico), Inc.",Puerto Rico / Healthcare,"Revolving Line of Credit – $7,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 8/21/2017)(10)(11)(14)",2350,6912,2350,6912,2350,0.2%,0.1%,0,0,0
Babson CLO Ltd. 2014-III,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.09%, due 1/15/2026)(5)(6)(13)",52250,40417,42771,40417,40630,1.2%,1.2%,0,0,0
"BNN Holdings, Corp.",Michigan / Healthcare,Escrow Receivable,Principal Value,Amortized Cost,Fair  Value(2),-,40630,1.2%,486,0,-%,0
"Broder Bros., Co.","Pennsylvania / Textiles, Apparel & Luxury Goods","Senior Secured Term Loan A (7.00% (LIBOR + 5.75% with 1.25% LIBOR floor), due 6/03/2021)(3)(10)(12)",119999,-,119999,486,40630,119999,0,3.5%,0,0
Brookside Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.67%, due 4/17/2025)(5)(13)",26000,240982,19432,240982,18083,7.0%,0.5%,0,0,0
California Street CLO IX Ltd. (f/k/a Symphony CLO IX Ltd.),Cayman Islands / Structured Finance,"Preference Shares (Residual Interest, current yield 15.77%, due 4/16/2022)(5)(13)",57000,19432,37813,18083,34132,0.5%,1.0%,0,0,0
"Capstone Logistics Acquisition, Inc.",Georgia / Business Services,"Second Lien Term Loan (9.25% (LIBOR + 8.25% with 1.00% LIBOR floor), due 10/7/2022)(3)(8)(10)(12)",101828,37813,101319,34132,101033,1.0%,2.9%,0,0,0
"Carlyle Carlyle Global Market Strategies CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.69%, due 10/20/2029)(5)(6)(13)",32200,101319,29854,101033,29717,2.9%,0.9%,0,0,0
Cent CLO 17 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.17%, due 1/30/2025)(5)(13)",24870,29854,18616,29717,16504,0.9%,0.5%,0,0,0
Cent CLO 20 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.27%, due 1/25/2026)(5)(13)",40275,18616,32288,16504,25591,0.5%,0.7%,0,0,0
Cent CLO 21 Limited,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.66%, due 7/27/2026)(5)(6)(13)",48528,32288,37278,25591,28947,0.7%,0.8%,0,0,0
"CIFC Funding 2013-III, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.62%, due 10/24/2025)(5)(13)",44100,37278,31703,28947,28775,0.8%,0.8%,0,0,0
"CIFC Funding 2013-IV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 15.24%, due 11/27/2024)(5)(13)",45500,31703,33065,28775,32209,0.8%,0.9%,0,0,0
"CIFC Funding 2014-IV Investor, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 13.72%, due 10/17/2026)(5)(6)(13)",41500,33065,30980,32209,29141,0.9%,0.8%,0,0,0
"Cinedigm DC Holdings, LLC",New York / Software & Computer Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 2.50% PIK, due 3/31/2021)(10)(11)(39)",65640,30980,65590,29141,65640,0.8%,1.9%,0,0,0
"Coverall North America, Inc.",Florida / Commercial Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 11/02/2020)(3)(10)(11)",Principal Value,24000,Fair  Value(2),% of Net Assets,24000,1.9%,0,24000.0,0,0.7%
Crosman Corporation,New York / Manufacturing,"Senior Secured Term Loan A (9.22% (LIBOR + 8.70% with .30% LIBOR floor) plus 4.00% PIK, due 8/5/2020)(3)(10)(12)(39)",54673,49000,54673,49000,54673,1.4%,1.6%,0,0,0
CURO Group Holdings Corp. (f/k/a Speedy Cash Holdings Corp.),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)(8)(13)",15000,96329,15000,96329,7076,2.8%,0.2%,0,0,0
"Easy Gardener Products, Inc.",Texas / Durable Consumer Products,"Senior Secured Term Loan (10.84% (LIBOR + 10.00% with .25% LIBOR floor), due 09/30/2020)(3)(10)(11)",17325,15000,17325,7076,17325,0.2%,0.5%,0,0,0
"Empire Today, LLC",Illinois / Durable Consumer Products,"Senior Secured Note (11.375%, due 2/1/2017)(8)",50426,17325,50189,17325,50426,0.5%,1.5%,0,0,0
"Fleetwash, Inc.",New Jersey / Business Services,"Senior Secured Term Loan B (10.50% (LIBOR + 9.50% with 1.00% LIBOR floor), due 4/30/2019)(3)(10)(11)",23402,50189,23402,50426,23402,1.5%,0.7%,0,0,0
"Focus Brands, Inc.",Georgia / Consumer Services,"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 8/21/2018)(8)(10)(12)",18000,23402,17891,23402,18000,0.7%,0.5%,0,0,0
"Galaxy XV CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.76%, due 4/15/2025)(5)(13)",39275,17891,28658,18000,29503,0.5%,0.9%,0,0,0
"Galaxy XVI CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.53%, due 11/16/2025)(5)(13)",24575,28658,18900,29503,18168,0.9%,0.5%,0,0,0
"Galaxy XVII CLO, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.47%, due 7/15/2026)(5)(6)(13)",39905,18900,30527,18168,28779,0.5%,0.8%,0,0,0
"Generation Brands Holdings, Inc.",Illinois / Durable Consumer Products,"Subordinated Secured Term Loan (11.00% (LIBOR + 10.00% with 1.00% LIBOR floor), due 12/10/2022)(8)(10)(11)",19000,30527,18459,28779,19000,0.8%,0.6%,0,0,0
"Global Employment Solutions, Inc.",Colorado / Business Services,"Senior Secured Term Loan (10.25% (LIBOR + 9.25% with 1.00% LIBOR floor), due 6/26/2020)(3)(10)(12)",49250,18459,49250,19000,49250,0.6%,1.4%,0,0,0
Halcyon Loan Advisors Funding 2012-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.13%, due 8/15/2023)(5)(13)",Principal Value,23188,Fair  Value(2),% of Net Assets,17575,1.4%,0,16637.0,0,0.5%
Halcyon Loan Advisors Funding 2013-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.26%, due 4/15/2025)(5)(13)",40400,17575,30747,16637,26838,0.5%,0.8%,0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.12%, due 4/18/2026)(5)(13)",24500,30747,17613,26838,14751,0.8%,0.4%,0,0,0
Halcyon Loan Advisors Funding 2014-2 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.84%, due 4/28/2025)(5)(6)(13)",41164,17613,29585,14751,25007,0.4%,0.7%,0,0,0
Halcyon Loan Advisors Funding 2015-3 Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.37%, due 10/18/2027)(5)(6)(13)",39598,29585,35736,25007,31619,0.7%,0.9%,0,0,0
"Harbortouch Payments, LLC",Pennsylvania / Business Services,"Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor) plus 3.00% PIK, due 5/31/2023)(3)(10)(11)(39)",27711,35736,27711,31619,28404,0.9%,0.9%,0,0,0
"HarbourView CLO VII, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.22%, due 11/18/2026)(5)(6)(13)",19025,27711,14432,30033,12806,0.9%,0.4%,0,0,0
"Harley Marine Services, Inc.",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(3)(8)(10)(11)",9000,14432,8894,12806,8352,0.4%,0.2%,0,0,0
"Hollander Sleep Products, LLC",Florida / Durable Consumer Products,"Senior Secured Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 10/21/2020)(3)(10)(12)",21860,8894,21860,8352,20293,0.2%,0.6%,0,0,0
Inpatient Care Management Company LLC,Florida / Healthcare,"Senior Secured Term Loan (11.50% (LIBOR + 10.50% with 1.00% LIBOR floor), due 6/8/2021(10)(12)",16830,21860,16830,20293,16830,0.6%,0.5%,0,0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(10)(11)",122444,16830,122444,16830,122444,0.5%,3.6%,0,0,0
"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (6.25% (LIBOR + 5.50% with 0.75% LIBOR floor), due 8/3/2017)(10)(12)",Principal Value,79317,Fair  Value(2),% of Net Assets,79317,9.7%,0,79317.0,0,2.3%
JAC Holding Corporation,Michigan / Transportation,"Senior Secured Note (11.50%, due 10/1/2019)(8)",2868,210442,2868,210442,2868,6.1%,0.1%,0,0,0
JD Power and Associates,California / Consumer Services,"Second Lien Term Loan (9.50% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/7/2024)(8)(10)(11)",15000,2868,14777,2868,15000,0.1%,0.4%,0,0,0
Jefferson Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 9.47%, due 7/20/2027)(5)(6)(13)",19500,14777,16821,15000,13174,0.4%,0.4%,0,0,0
"LaserShip, Inc.",Virginia / Transportation,"Senior Secured Term Loan A (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor) plus 1.00% PIK, due 3/18/2019)(3)(10)(12)(39)",34424,16821,34424,13174,33667,0.4%,1.0%,0,0,0
LCM XIV Ltd.,Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 16.10%, due 7/15/2025)(5)(13)",30500,55553,22359,54331,21872,1.6%,0.6%,0,0,0
"Madison Park Funding IX, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 21.72%, due 8/15/2022)(5)(13)",43110,22359,29343,21872,28543,0.6%,0.8%,0,0,0
"Matrixx Initiatives, Inc.",New Jersey / Pharmaceuticals,"Senior Secured Term Loan A (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(10)(11)",34490,29343,34490,28543,34490,0.8%,1.0%,0,0,0
Mountain View CLO 2013-I Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.27%m due 4/12/2024)(5)(13)",43650,-,32078,197,29996,-%,0.9%,0,0,0
Mountain View CLO IX Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.52%, due 7/15/2027)(5)(6)(13)",47830,32078,42415,29996,38431,0.9%,1.1%,0,0,0
