0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Capital Markets,Total Non-Control/Non-Affiliate Investments (Level 3),-,12/1/2017,3532959,26531,2987,3353353,-,97.7%,173.0%,-,-%,1.2%,-,26531.0,0.0,0
Machinery,-,-,-,3532959,24782,2987,-,-,-,12388,-,-%,1.2%,-,24782.0,0.7,%
Media,7614,-,-,3532959,-,2987,-,-,12460,12388,20074,-%,0.7,%,0.0,0.0,0
Online Lending,217960,-,-,3532959,-,2987,-,-,14366,12388,232326,-%,6.8,%,0.0,0.0,0
Personal Products,164158,-,-,3532959,-,2987,-,-,-,12388,164158,-%,4.8,%,0.0,0.0,0
Diversified Consumer Services,32.6,-,10.7,%,177,%,0.2,-,29.1,%,25476,%,4.8,-,25653.0,0.7,%
Distributors,-,-,50670,%,-,%,-,-,-,%,50670,%,1.5,%,0.0,0.0,0
"Textiles, Apparel & Luxury Goods",-,-,-,%,-,%,-,-,19670,%,19670,%,0.6,%,0.0,0.0,0
Auto Components,-,-,1.5,%,24851,%,0.7,-,0.6,%,-,%,0.6,-,24851.0,0.7,%
Building Products,-,-,20000,%,-,%,-,-,-,%,20000,%,0.6,%,0.0,0.0,0
Capital Markets,-,-,26675,%,-,%,-,-,-,%,26675,%,0.8,%,0.0,0.0,0
Commercial Services & Supplies,86389,-,165096,%,-,%,-,-,932,%,252417,%,7.4,%,0.0,0.0,0
Communications Equipment,-,-,48000,%,-,%,-,-,-,%,48000,%,1.4,%,0.0,0.0,0
Consumer Finance,21371,-,-,%,-,%,-,-,-,%,21371,%,0.6,%,0.0,0.0,0
Distributors,174191,-,-,%,-,%,-,-,-,%,174191,%,5.1,%,0.0,0.0,0
Diversified Consumer Services,-,-,118289,%,-,%,-,-,-,%,118289,%,3.4,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",12566,-,15300,%,-,%,-,-,-,%,27866,%,0.8,%,0.0,0.0,0
