,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(49),,,,,,,,,,,
3,American Property REIT Corp.(32),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(20)",,69635,,,69635,,,69635.0,2.0%
4,"Common Stock (307,846 shares)",,24383,,34319,,1.0%,,,,,
5,Net Operating Income Interest (5% of Net Operating Income),,-,,7360,,0.2%,,,,,
6,,,,,94018,,111314,,3.2%,,,
7,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",,,31640,,33882,,1.0%,,
8,"Class E Units (21,080 units)",,,20230,,18942,,0.6%,,,,
9,Class A Units (700 units),,,9006,,-,,-%,,,,
10,Class C Units (10 units),,,-,,-,,-%,,,,
11,,,,,60876,,52824,,1.6%,,,
12,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12538,,12538,,12538,,0.4%,,
13,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9158,,9158,,9158,,0.3%,,,,
14,"Common Stock (14,857 shares)",,,6636,,19294,,0.6%,,,,
15,,,,,28332,,40990,,1.3%,,,
16,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",,,98273,,75501,,2.2%,,
17,"Common Stock (2,924 shares)",,,15227,,-,,-%,,,,
18,,,,,113500,,75501,,2.2%,,,
19,"Credit Central Loan Company, LLC(34)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(22)",36333,,36333,,36333,,1.1%,,
20,"Class A Shares (7,500,000 shares)(22)",,,11633,,13938,,0.4%,,,,
21,Net Revenues Interest (25% of Net Revenues)(22),,,-,,3920,,0.1%,,,,
22,,,,,47966,,54191,,1.6%,,,
23,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(20)",40808,,40808,,40808,,1.2%,,
24,Membership Interest (99%),,,19907,,25480,,0.7%,,,,
25,,,,,60715,,66288,,1.9%,,,
26,"Edmentum Ultimate Holdings, LLC(47)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(19)(25)",,,-,,-,,-%,,
27,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",6077,,6077,,6077,,0.2%,,,,
28,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",27430,,20931,,21192,,0.6%,,,,
29,"Class A Common Units (370,964.14 units)",,,6577,,8400,,0.2%,,,,
30,,,,,33585,,35669,,1.0%,,,
31,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(22)",255249,,255249,,255249,,7.4%,,
32,"Class A Shares (86,711,624.89 shares)(22)",,,70476,,102822,,3.0%,,,,
33,,,,,325725,,358071,,10.4%,,,
34,"Freedom Marine Solutions, LLC(8)",Louisiana / Oil & Gas Services,Membership Interest (100%),,,39811,,25560,,0.7%,,
35,,,,,39811,,25560,,0.7%,,,
