,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
2,American Property REIT Corp.(32),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,105958,,,105958,,,105958.0,2.9%
3,"Common Stock (272,116 shares)",,24769,,30692,,0.8%,,,,,
4,,,,,130727,,136650,,3.7%,,,
5,"Arctic Energy Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
6,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
7,Class A Units (700 units),,9006,,9774,,0.3%,,,,,
8,,,,,60876,,61644,,1.7%,,,
9,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",16988,,16988,,16988,,0.5%,,
10,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8539,,8539,,8539,,0.2%,,,,
11,"Common Stock (14,857 shares)",,8553,,8011,,0.2%,,,,,
12,,,,,34080,,33538,,0.9%,,,
13,CP Energy Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
14,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(3)(4)",72238,,72238,,72238,,1.9%,,,,
15,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15000,,15000,,15000,,0.4%,,,,
16,"Common Stock (2,924 shares)",,15227,,20499,,0.6%,,,,,
17,,,,,113500,,118772,,3.2%,,,
18,"Credit Central Loan Company, LLC(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(22)",36333,,36333,,36333,,1.0%,,
19,"Class A Shares (7,500,000 shares)(22)",,11473,,12637,,0.3%,,,,,
20,,,,,47806,,48970,,1.3%,,,
21,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)",40808,,40808,,40808,,1.1%,,
22,"Class A Shares (11,335,318 shares)",,19907,,16632,,0.4%,,,,,
23,,,,,60715,,57440,,1.5%,,,
24,First Tower Finance Company LLC(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(22)",251246,,251246,,251246,,6.8%,,
25,"Class A Shares (83,729,323 shares)(22)",,65957,,82038,,2.2%,,,,,
26,,,,,317203,,333284,,9.0%,,,
27,"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,,3500,,3500,,0.1%,,
28,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,,12504,,9499,,0.3%,,,,
29,"Senior Secured Note to Vessel Company III, LLC (13.00%, due 12/3/2018)",16000,,16000,,11889,,0.3%,,,,
30,Membership Interest (100%),,7807,,4260,,0.1%,,,,,
31,,,,,39811,,29148,,0.8%,,,
32,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)(4)",19500,,19500,,12963,,0.3%,,
33,"Series A Convertible Preferred Stock (99,900 shares)",,25950,,-,,-%,,,,,
34,,,,,45450,,12963,,0.3%,,,
35,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
36,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
37,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
38,"Harbortouch Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)",,130392,,,130392,,,130392.0,3.5%
39,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)",137226,,137226,,137226,,3.7%,,,,
40,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)",25196,,25196,,25196,,0.7%,,,,
41,Class C Shares (535 shares),,8780,,40171,,1.1%,,,,,
42,,,,,301594,,332985,,9.0%,,,
43,"The Healing Staff, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,,1686,,-,,-%,,
44,"Senior Demand Note to The Healing Staff, Inc. (15.00%, in non-accrual status effective 11/1/2010, past due)",1170,,1170,,-,,-%,,,,
45,"Common Stock of The Healing Staff, Inc. (1,000 shares)",,-,,-,,-%,,,,,
46,"Common Stock of Vets Securing America, Inc. (1 share)",,975,,-,,-%,,,,,
47,,,,,3831,,-,,-%,,,
48,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Revolving Line of Credit – $7,500 Commitment (9.50% (LIBOR + 7.00% with 2.50% LIBOR floor), due 3/23/2015)(4)(25)(26)",2500,,2500,,2500,,0.1%,,
49,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)",18250,,18250,,18250,,0.5%,,,,
50,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(4)",15769,,15769,,15769,,0.4%,,,,
51,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(22)",6593,,6593,,6593,,0.2%,,,,
52,"Common Stock (42,053 shares)",,7456,,9506,,0.2%,,,,,
53,,,,,50568,,52618,,1.4%,,,
54,National Property REIT Corp.(40),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",218717,,218717,,218717,,5.9%,,
55,"Senior Secured Term Loan B (14.00% (LIBOR + 12.00% with 2.00% LIBOR floor) plus 3.00% PIK, due 4/1/2019)(4)",24650,,24650,,24650,,0.7%,,,,
56,"Common Stock (84,567 shares)",,48696,,74619,,2.0%,,,,,
57,,,,,292063,,317986,,8.6%,,,
58,Nationwide Acceptance LLC(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)(22)",14820,,14820,,14820,,0.4%,,
59,"Class A Shares (24,029,326 shares)(22)",,12919,,12591,,0.3%,,,,,
60,,,,,27739,,27411,,0.7%,,,
61,"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,,3714,,2300,,0.1%,,
62,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2016)",7000,,7000,,4334,,0.1%,,,,
63,"Series A Preferred Stock (7,200 shares)",,7200,,-,,-%,,,,,
64,"Series B Preferred Stock (5,669 shares)",,5669,,-,,-%,,,,,
65,,,,,23583,,6634,,0.2%,,,
66,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,,30411,,30411,,0.8%,,
67,"Common Stock (545,107 shares)",,5087,,14576,,0.4%,,,,,
68,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,1682,,5348,,0.2%,,,,,
69,,,,,37180,,50335,,1.4%,,,
70,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
71,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
72,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,
73,United Property REIT Corp.(41),Various / Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,58219,,,58219,,,58219.0,1.6%
74,"Common Stock (70,689 shares)",,11946,,14772,,0.4%,,,,,
75,,,,,70165,,72991,,2.0%,,,
76,"Valley Electric Company, Inc.(35)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2017)(3)(4)",10211,,10211,,10211,,0.3%,,
