,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,
2,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",-,,,31640,,,24158,,0.7%,,,,,
3,"Class E Units (14.00%, 21,080 units)(16)",-,,20230,,-,,-%,,,,,,,,,
4,"Class A Units (14.00%, 700 units)(16)",-,,9006,,-,,-%,,,,,,,,,
5,Class C Units (10 units)(16),-,,-,,-,,-%,,,,,,,,,
6,,,,,,60876,,24158,,0.7%,,,,,,,
7,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2909,,2909,,2909,,0.1%,,,,,,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17904,,17904,,17904,,0.5%,,,,,,,,,
9,"Common Stock (14,857 shares)",-,,6759,,17824,,0.5%,,,,,,,,,
10,,,,,,27572,,38637,,1.1%,,,,,,,
11,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (12.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(10)(11)",35048,,35048,,35048,,1.0%,,,,,,,
12,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,,63225,,51509,,1.5%,,,,,,,,,
13,"Common Stock (2,924 shares)(16)",-,,15227,,-,,-%,,,,,,,,,
14,,,,,,113500,,86557,,2.5%,,,,,,,
15,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,,46195,,51855,,1.4%,,,,,,,
16,"Class A Units (10,640,642 units)(14)(16)",-,,13731,,20190,,0.6%,,,,,,,,,
17,Net Revenues Interest (25% of Net Revenues)(14),-,,-,,2667,,0.1%,,,,,,,,,
18,,,,,,59926,,74712,,2.1%,,,,,,,
19,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(46)",31055,,31055,,31055,,0.9%,,,,,,,
20,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(46)",16044,,16044,,16044,,0.5%,,,,,,,,,
21,Membership Interest (100%)(16),-,,22738,,29478,,0.9%,,,,,,,,,
22,,,,,,69837,,76577,,2.3%,,,,,,,
23,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",5092,,5092,,5092,,0.2%,,,,,,,
24,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(46)",7208,,7208,,7208,,0.2%,,,,,,,,,
25,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",33520,,23828,,19062,,0.6%,,,,,,,,,
26,"Class A Units (370,964 units)(16)",-,,6577,,-,,-%,,,,,,,,,
27,,,,,,42705,,31362,,1.0%,,,,,,,
28,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",258772,,258772,,258772,,7.7%,,,,,,,
29,"Class A Units (93,997,533 units)(14)(16)",-,,78481,,146258,,4.4%,,,,,,,,,
30,,,,,,337253,,405030,,12.1%,,,,,,,
31,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,42812,,25266,,0.8%,,,,,,,
32,,,,,,42812,,25266,,0.8%,,,,,,,
33,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
34,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
35,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,
36,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",,26250,,,26250,,,26250.0,,0.8%,,,,
37,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(46)",24442,,24442,,24442,,0.7%,,,,,,,,,
38,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(3)(14)",5782,,7200,,5782,,0.2%,,,,,,,,,
39,"Common Stock (42,053 shares)(16)",-,,6849,,13008,,0.5%,,,,,,,,,
40,,,,,,64741,,69482,,2.2%,,,,,,,
41,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(10)(11)(46)",293203,,293203,,293203,,8.8%,,,,,,,
42,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(46)",113240,,113240,,113240,,3.4%,,,,,,,,,
43,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(14)(46)",14274,,14274,,14274,,0.4%,,,,,,,,,
44,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(14)(46)",132578,,132578,,132578,,4.0%,,,,,,,,,
45,"Common Stock (2,351,247 shares)(16)",-,,290564,,400362,,12.0%,,,,,,,,,
46,Net Operating Income Interest (5% of Net Operating Income),-,,-,,94718,,2.8%,,,,,,,,,
47,,,,,,843859,,1048375,,31.4%,,,,,,,
48,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",17114,,17114,,17114,,0.5%,,,,,,,
49,"Class A Units (32,456,159 units)(14)(16)",-,,21962,,13141,,0.4%,,,,,,,,,
50,,,,,,39076,,30255,,0.9%,,,,,,,
51,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,,3714,,3714,,0.1%,,,,,,,
52,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6900,,6900,,6900,,0.2%,,,,,,,,,
53,"Series A Preferred Stock (7,200 shares)(3)(16)",-,,12869,,10614,,0.3%,,,,,,,,,
54,,,,,,23483,,21228,,0.6%,,,,,,,
55,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.69% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,,28622,,28622,,0.9%,,,,,,,
56,"Common Stock (745,107 shares)(16)",-,,6866,,2786,,0.1%,,,,,,,,,
57,,,,,,35488,,31408,,1.0%,,,,,,,
58,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",-,,-,,996,,-%,,,,,,,
59,Common Stock (100 shares)(16),-,,-,,-,,-%,,,,,,,,,
60,,,,,,-,,996,,-%,,,,,,,
61,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
62,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
63,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,
64,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",,35326,,,31602,,,6655.0,,0.2%,,,,
65,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",44281,,35568,,-,,-%,,,,,,,,,
66,"Common Stock (268,962 shares)(16)",-,,-,,-,,-%,,,,,,,,,
67,,,,,,67170,,6655,,0.2%,,,,,,,
68,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(46)",10430,,10430,,10430,,0.3%,,,,,,,
69,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2024)(46)",26724,,26724,,26724,,0.8%,,,,,,,,,
