,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
3,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",,2881,,,2881,,,2881.0,,0.1%,,,,,
4,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,,17819,,17819,,0.5%,,,,,,,,,,
5,"Common Stock (14,857 shares)(16)",-,,6759,,15056,,0.4%,,,,,,,,,,
6,,,,,,27459,,35756,,1.0%,,,,,,,,
7,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,,35048,,35048,,1.0%,,,,,,,,
8,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,,63225,,63225,,1.9%,,,,,,,,,,
9,"Common Stock (102,924 shares)(16)",-,,81203,,24988,,0.7%,,,,,,,,,,
10,,,,,,179476,,123261,,3.6%,,,,,,,,
11,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",51855,,47496,,51855,,1.5%,,,,,,,,
12,"Class A Units (10,640,642 units)(14)(16)",-,,13731,,23196,,0.7%,,,,,,,,,,
13,Net Revenues Interest (25% of Net Revenues)(14)(16),-,,-,,1626,,0.1%,,,,,,,,,,
14,,,,,,61227,,76677,,2.3%,,,,,,,,
15,"Echelon Transportation, LLC (f/a/a Echelon Aviation, LLC)",New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",31055,,31055,,31055,,0.9%,,,,,,,,
16,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",16044,,16044,,16044,,0.5%,,,,,,,,,,
17,Membership Interest (100%)(16),-,,22738,,35179,,1.0%,,,,,,,,,,
18,,,,,,69837,,82278,,2.4%,,,,,,,,
19,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",273066,,273066,,273066,,8.0%,,,,,,,,
20,"Class A Units (95,709,910 units)(14)(16)",-,,81146,,169944,,5.0%,,,,,,,,,,
21,,,,,,354212,,443010,,13.0%,,,,,,,,
22,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,43592,,13037,,0.4%,,,,,,,,
23,,,,,,43592,,13037,,0.4%,,,,,,,,
24,"InterDent, Inc. (52)",California / Health Care Providers & Services,"Senior Secured Term Loan A (7.59% (LIBOR + 5.50% with 0.75% LIBOR floor), due 12/31/2017, past due)(13)",77994,,77994,,77994,,2.3%,,,,,,,,
