,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS:,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,
2,AMU Holdings Inc.(27),Pennsylvania / Property Management,"Senior Secured Term Loan A to Airmall Inc. (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",,27587,,,27587,,,27587.0,0.8%
3,"Senior Secured Term Loan B to Airmall Inc. (12.00% plus 6.00% PIK, due 12/31/2015)",19993,,19993,,17697,,0.5%,,,,
4,"Series A Preferred Stock of AMU Holdings Inc. (9,919.684 shares)",,9920,,-,,-%,,,,,
5,Common Stock of AMU Holdings Inc. (100 shares),,-,,-,,-%,,,,,
6,,,,,57500,,45284,,1.3%,,,
7,"APH Property Holdings, LLC(32)",Florida / Real Estate,"Senior Term Loan to American Property REIT Corp. (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",167743,,167743,,167743,,4.6%,,
8,"Membership Interest in APH Property Holdings, LLC",,35024,,38416,,1.1%,,,,,
9,,,,,202767,,206159,,5.7%,,,
10,"Arctic Oilfield Equipment USA, Inc. (45)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan to Arctic Energy Services, LLC (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",31640,,31640,,31640,,0.9%,,
11,"Senior Subordinated Term Loan to Arctic Energy Services, LLC (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(4)",20230,,20230,,20230,,0.6%,,,,
12,"Common Stock of Arctic Oilfield Equipment USA, Inc. (100 shares)",,9006,,9244,,0.2%,,,,,
13,,,,,60876,,61114,,1.7%,,,
14,"ARRM Services, Inc.  (f/k/a ARRM Holdings Inc.)(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,,19337,,19337,,0.5%,,
15,"Series B Preferred Stock of ARRM Services, Inc. (25,000 shares)",,21156,,6199,,0.2%,,,,,
16,"Series A Convertible Preferred Stock of ARRM Services, Inc. (6,142.60 shares)",,6057,,-,,-%,,,,,
17,"Common Stock of ARRM Services, Inc. (6.00 shares)",,-,,-,,-%,,,,,
18,,,,,46550,,25536,,0.7%,,,
19,"AWC, LLC(19)",North Carolina / Machinery,"Members Units – Class A (1,800,000 units)",,-,,-,,-%,,,
20,Members Units – Class B-1 (1 unit),,-,,-,,-%,,,,,
21,"Members Units – Class B-2 (7,999,999 units)",,-,,-,,-%,,,,,
22,,,,,-,,-,,-%,,,
23,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
