,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(48),,,,,,,,,,,,,,,,,,,,,,
2,"Arctic Energy Services, LLC(18)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",,,,31640,,,35815,,1.0%,,,,,,,,,,,
3,"Class E Units (21,080 units)",,,20230,,2525,,0.1%,,,,,,,,,,,,,,,
4,Class A Units (700 units),,,9006,,-,,-%,,,,,,,,,,,,,,,
5,Class C Units (10 units),,,-,,-,,-%,,,,,,,,,,,,,,,
6,,,,,60876,,38340,,1.1%,,,,,,,,,,,,,,
7,CCPI Inc.(19),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12313,,12313,,12313,,0.4%,,,,,,,,,,,,,
8,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(47)",9320,,9320,,9320,,0.3%,,,,,,,,,,,,,,,
9,"Common Stock (14,857 shares)",,,6635,,19723,,0.5%,,,,,,,,,,,,,,,
10,,,,,28268,,41356,,1.2%,,,,,,,,,,,,,,
11,CP Energy Services Inc.(20),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",,,98273,,76002,,2.2%,,,,,,,,,,,,,
12,"Common Stock (2,924 shares)",,,15227,,-,,-%,,,,,,,,,,,,,,,
13,,,,,113500,,76002,,2.2%,,,,,,,,,,,,,,
14,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(15)(47)",36931,,36931,,36931,,1.1%,,,,,,,,,,,,,
15,"Class A Shares (7,500,000 shares)(15)",,,11633,,11707,,0.3%,,,,,,,,,,,,,,,
16,Net Revenues Interest (25% of Net Revenues)(15),,,-,,3616,,0.1%,,,,,,,,,,,,,,,
17,,,,,48564,,52254,,1.5%,,,,,,,,,,,,,,
18,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(11)(14)(47)",37855,,37855,,37855,,1.1%,,,,,,,,,,,,,
19,Membership Interest (99%),,,19907,,22966,,0.7%,,,,,,,,,,,,,,,
20,,,,,57762,,60821,,1.8%,,,,,,,,,,,,,,
21,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(16)",6424,,6424,,6424,,0.2%,,,,,,,,,,,,,
22,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(47)",6341,,6341,,6341,,0.2%,,,,,,,,,,,,,,,
23,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(47)",28834,,22337,,25569,,0.7%,,,,,,,,,,,,,,,
24,"Class A Common Units (370,964 units)",,,6576,,6012,,0.2%,,,,,,,,,,,,,,,
25,,,,,41678,,44346,,1.3%,,,,,,,,,,,,,,
26,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(15)(47)",255762,,255762,,255762,,7.4%,,,,,,,,,,,,,
27,"Class A Shares (86,711,625 shares)(15)",,,70476,,96904,,2.8%,,,,,,,,,,,,,,,
28,,,,,326238,,352666,,10.2%,,,,,,,,,,,,,,
29,"Freedom Marine Solutions, LLC(24)",Louisiana / Oil & Gas Services,Membership Interest (100%),,,40810,,26618,,0.8%,,,,,,,,,,,,,
30,,,,,40810,,26618,,0.8%,,,,,,,,,,,,,,
31,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(11)(13)",38892,,34425,,7312,,0.2%,,,,,,,,,,,,,
32,"Series A Convertible Preferred Stock (99,900 shares)",,,25950,,-,,-%,,,,,,,,,,,,,,,
33,,,,,60375,,7312,,0.2%,,,,,,,,,,,,,,
34,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,,,,
35,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,
36,Control Investments (greater than 25.00% voting control)(48),,,,,,,,,,,,,,,,,,,,,,
37,"MITY, Inc.(26)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(11)(13)",,18250,,,18250,,,18250.0,,0.5%,,,,,,,,,,
38,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(11)(13)(47)",16442,,16442,,16442,,0.5%,,,,,,,,,,,,,,,
39,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(15)",7200,,7200,,5667,,0.2%,,,,,,,,,,,,,,,
40,"Common Stock (42,053 shares)",,,6848,,13690,,0.4%,,,,,,,,,,,,,,,
41,,,,,48740,,54049,,1.6%,,,,,,,,,,,,,,
42,National Property REIT Corp.(27),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(11)(13)(47)",248677,,248677,,248677,,7.2%,,,,,,,,,,,,,
43,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(11)(13)(47)",212819,,212819,,212819,,6.2%,,,,,,,,,,,,,,,
44,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(11)(13)(15)(47)",99972,,99972,,99972,,2.9%,,,,,,,,,,,,,,,
45,"Common Stock (1,533,899 shares)",,,165908,,215491,,6.3%,,,,,,,,,,,,,,,
46,Net Operating Income Interest (5% of Net Operating Income),,,-,,66974,,2.0%,,,,,,,,,,,,,,,
47,,,,,727376,,843933,,24.6%,,,,,,,,,,,,,,
48,Nationwide Loan Company LLC(28),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(15)(47)",16696,,16696,,16696,,0.5%,,,,,,,,,,,,,
49,"Class A Shares (29,343,795 shares)(15)",,,16201,,19117,,0.5%,,,,,,,,,,,,,,,
