,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
2,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",,2881,,,2881,,,2881.0,,0.1%,,,,,
3,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,,17819,,17819,,0.5%,,,,,,,,,,
4,"Common Stock (14,857 shares)(16)",-,,6759,,15056,,0.4%,,,,,,,,,,
5,,,,,,27459,,35756,,1.0%,,,,,,,,
6,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (13.31% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,,35048,,35048,,1.0%,,,,,,,,
7,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,,63225,,63225,,1.9%,,,,,,,,,,
8,"Common Stock (102,924 shares)(16)",-,,81203,,24988,,0.7%,,,,,,,,,,
9,,,,,,179476,,123261,,3.6%,,,,,,,,
10,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",51855,,47496,,51855,,1.5%,,,,,,,,
11,"Class A Units (10,640,642 units)(14)(16)",-,,13731,,23196,,0.7%,,,,,,,,,,
12,Net Revenues Interest (25% of Net Revenues)(14)(16),-,,-,,1626,,0.1%,,,,,,,,,,
13,,,,,,61227,,76677,,2.3%,,,,,,,,
14,"Echelon Transportation, LLC (f/a/a Echelon Aviation, LLC)",New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",31055,,31055,,31055,,0.9%,,,,,,,,
15,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",16044,,16044,,16044,,0.5%,,,,,,,,,,
16,Membership Interest (100%)(16),-,,22738,,35179,,1.0%,,,,,,,,,,
17,,,,,,69837,,82278,,2.4%,,,,,,,,
18,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",273066,,273066,,273066,,8.0%,,,,,,,,
19,"Class A Units (95,709,910 units)(14)(16)",-,,81146,,169944,,5.0%,,,,,,,,,,
20,,,,,,354212,,443010,,13.0%,,,,,,,,
21,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,43592,,13037,,0.4%,,,,,,,,
22,,,,,,43592,,13037,,0.4%,,,,,,,,
23,"InterDent, Inc. (52)",California / Health Care Providers & Services,"Senior Secured Term Loan A (7.59% (LIBOR + 5.50% with 0.75% LIBOR floor), due 12/31/2017, past due)(13)",77994,,77994,,77994,,2.3%,,,,,,,,
24,"Senior Secured Term Loan B (8.34% (LIBOR + 6.25% with 0.75% LIBOR floor) plus 4.25% PIK, due 12/31/2017, past due)(13)",131558,,131558,,119627,,3.5%,,,,,,,,,,
25,"Senior Secured Term Loan C (18.00% PIK, due on demand)(46)",3149,,3149,,-,,-%,,,,,,,,,,
26,"Warrants (to purchase 4,900 shares of Common Stock, expires 3/22/2030)(16)",-,,-,,-,,-%,,,,,,,,,,
27,,,,,,212701,,197621,,5.8%,,,,,,,,
28,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
29,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
30,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
31,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",,26250,,,26250,,,26250.0,,0.8%,,,,,
32,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",24442,,24442,,24442,,0.7%,,,,,,,,,,
33,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",5563,,7200,,5563,,0.1%,,,,,,,,,,
34,"Common Stock (42,053 shares)(16)",-,,6849,,2639,,0.1%,,,,,,,,,,
35,,,,,,64741,,58894,,1.7%,,,,,,,,
36,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(13)(46)",293203,,293203,,293203,,8.6%,,,,,,,,
37,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.50% PIK, due 4/1/2019)(13)(46)",226180,,226180,,226180,,6.7%,,,,,,,,,,
38,"Common Stock (3,042,393 shares)",-,,307604,,436105,,12.8%,,,,,,,,,,
39,Net Operating Income Interest (5% of Net Operating Income),-,,-,,99488,,2.9%,,,,,,,,,,
40,,,,,,826987,,1054976,,31.0%,,,,,,,,
41,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",17410,,17410,,17410,,0.5%,,,,,,,,
42,"Class A Units (32,456,159 units)(14)(16)",-,,21962,,16443,,0.5%,,,,,,,,,,
43,,,,,,39372,,33853,,1.0%,,,,,,,,
44,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",3714,,3714,,3714,,0.1%,,,,,,,,
45,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",4900,,4900,,4900,,0.2%,,,,,,,,,,
46,"Series A Preferred Stock (7,200 shares)(16)",-,,7200,,5663,,0.2%,,,,,,,,,,
47,"Series B Preferred Stock (5,669 shares)(16)",-,,5669,,4458,,0.1%,,,,,,,,,,
48,,,,,,21483,,18735,,0.6%,,,,,,,,
49,Pacific World Corporation(40),California / Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.34% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(13)(15)",20825,,20825,,20825,,0.6%,,,,,,,,
50,"Senior Secured Term Loan A (7.34% (LIBOR + 5.25% with 1.00% LIBOR floor), due 9/26/2020)(13)",96250,,96250,,96250,,2.8%,,,,,,,,,,
51,"Senior Secured Term Loan B (11.34% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",96500,,96500,,47945,,1.4%,,,,,,,,,,
52,"Convertible Preferred Equity (100,000 shares)(16)",-,,15000,,-,,-%,,,,,,,,,,
53,"Common Stock (6,778,414 shares)(16)",-,,-,,-,,-%,,,,,,,,,,
54,,,,,,228575,,165020,,4.8%,,,,,,,,
55,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (11.34% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(11)",28622,,28622,,28622,,0.8%,,,,,,,,
56,"Common Stock (745,107 shares)(16)",-,,6866,,3264,,0.1%,,,,,,,,,,
57,,,,,,35488,,31886,,0.9%,,,,,,,,
58,Portfolio Company,Locale / Industry,Investments(1)(44),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
59,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
60,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
61,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (6.50%, 99,000 shares)(16)",,-,,,-,,,2194.0,,0.1%,,,,,
62,Common Stock (100 shares)(16),-,,-,,-,,-%,,,,,,,,,,
63,,,,,,-,,2194,,0.1%,,,,,,,,
64,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",36964,,31601,,16319,,0.5%,,,,,,,,
65,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",47866,,35568,,-,,-%,,,,,,,,,,
66,"Common Stock (268,962 shares)(16)",-,,-,,-,,-%,,,,,,,,,,
67,,,,,,67169,,16319,,0.5%,,,,,,,,
68,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(11)(46)",10430,,10430,,10430,,0.3%,,,,,,,,
