,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(46),,,,,,,,,,,,,,,,,,,,,,,,
2,CP Energy Services Inc. (20),Energy Equipment & Services,Senior Secured Term Loan,10/1/2017,12.00% (3ML+ 11.00%),1.00,,12/29/2022,,36744,,,36744,,,36744,,1.2%,(10)(45),,,,,,
3,"Senior Secured Term Loan A to Spartan Energy Services, LLC",10/20/2014,9.00% (1ML+ 8.00%),1.00,,12/31/2022,13156,,13156,,13156,,0.4%,(10),,,,,,,,,,,
4,"Senior Secured Term Loan B to Spartan Energy Services, LLC",10/20/2014,15.00% PIK (1ML+ 14.00%),1.00,,12/31/2022,25234,,23360,,5555,,0.1%,(9)(10),,,,,,,,,,,
5,Series B Convertible Preferred Stock (790 shares),10/30/2015,,-,,,-,,63225,,14430,,0.5%,(16),,,,,,,,,,,
6,"Common Stock (102,924 shares)",8/2/2013,,-,,,-,,86241,,-,,-%,(16),,,,,,,,,,,
7,,,,,,,,,,222726,,69885,,2.2%,,,,,,,,,,,
8,"Credit Central Loan Company, LLC (21)",Consumer Finance,Subordinated Term Loan,12/28/2012,10.00% plus 10.00% PIK,-,,6/26/2024,62859,,59870,,62859,,2.1%,(14)(45),,,,,,,,,
9,"Class A Units (14,867,312 units)",12/28/2012,,-,,,-,,19331,,12826,,0.4%,(14)(16),,,,,,,,,,,
10,Net Revenues Interest (25% of Net Revenues),1/28/2015,,-,,,-,,-,,-,,-%,(14)(16),,,,,,,,,,,
11,,,,,,,,,,79201,,75685,,2.5%,,,,,,,,,,,
12,"Echelon Transportation, LLC",Aerospace & Defense,Senior Secured Term Loan,3/31/2014,11.75% (1ML+ 9.75%) plus 2.25% PIK,2.00,,3/31/2022,45072,,45072,,45072,,1.4%,(10)(45),,,,,,,,,
13,Senior Secured Term Loan,12/9/2016,11.00% (1ML+ 9.00%) plus 1.00% PIK,2.00,,12/7/2024,20399,,20399,,20399,,0.7%,(10)(45),,,,,,,,,,,
14,Membership Interest (100%),3/31/2014,,-,,,-,,22737,,20156,,0.7%,(16),,,,,,,,,,,
15,,,,,,,,,,88208,,85627,,2.8%,,,,,,,,,,,
16,First Tower Finance Company LLC (23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC",6/24/2014,10.00% plus 10.50% PIK,-,,6/24/2024,277069,,277069,,277069,,9.0%,(14)(45),,,,,,,,,
17,"Class A Units (95,709,910 units)",6/14/2012,,-,,,-,,81146,,231396,,7.6%,(14)(16),,,,,,,,,,,
18,,,,,,,,,,358215,,508465,,16.6%,,,,,,,,,,,
