,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Portfolio Company,Locale / Industry,Investments(1)(44)(47),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
3,"Arctic Energy Services, LLC(37)",Wyoming / Energy Equipment & Services,"Class D Units (12.00%, 32,915 units)(16)",,-,,,31640,,,27017.0,,0.8%,,,,,
4,"Class E Units (14.00%, 21,080 units)(16)",-,,23800,,-,,-%,,,,,,,,,,
5,"Class A Units (14.00%, 700 units)(16)",-,,9006,,-,,-%,,,,,,,,,,
6,Class C Units (10 units)(16),-,,-,,-,,-%,,,,,,,,,,
7,,,,,,64446,,27017,,0.8%,,,,,,,,
8,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2881,,2881,,2881,,0.1%,,,,,,,,
9,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",17819,,17819,,17819,,0.5%,,,,,,,,,,
10,"Common Stock (14,857 shares)",-,,6759,,15557,,0.5%,,,,,,,,,,
11,,,,,,27459,,36257,,1.1%,,,,,,,,
12,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Senior Secured Term Loan (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",35048,,35048,,35048,,1.0%,,,,,,,,
13,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",-,,63225,,55135,,1.7%,,,,,,,,,,
14,"Common Stock (2,924 shares)(16)",-,,15227,,-,,-%,,,,,,,,,,
15,,,,,,113500,,90183,,2.7%,,,,,,,,
16,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (20.00% (10.00% plus 10.00% PIK, due 6/26/2019)(14)(46)",51855,,46788,,51855,,1.5%,,,,,,,,
17,"Class A Units (10,640,642 units)(14)(16)",-,,13731,,22353,,0.7%,,,,,,,,,,
18,Net Revenues Interest (25% of Net Revenues)(14)(16),-,,-,,2249,,0.1%,,,,,,,,,,
19,,,,,,60519,,76457,,2.3%,,,,,,,,
20,"Echelon Transportation, LLC (f/k/a Echelon Aviation LLC)",New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",31055,,31055,,31055,,0.9%,,,,,,,,
21,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",16044,,16044,,16044,,0.5%,,,,,,,,,,
22,Membership Interest (100%)(16),-,,22738,,32202,,1.0%,,,,,,,,,,
23,,,,,,69837,,79301,,2.4%,,,,,,,,
24,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(46)",272170,,272170,,272170,,8.1%,,,,,,,,
25,"Class A Units (95,709,910 units)(14)(16)",-,,81146,,162981,,4.9%,,,,,,,,,,
26,,,,,,353316,,435151,,13.0%,,,,,,,,
27,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),-,,43292,,13188,,0.4%,,,,,,,,
28,,,,,,43292,,13188,,0.4%,,,,,,,,
29,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",26250,,26250,,26250,,0.8%,,,,,,,,
30,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",24442,,24442,,24442,,0.7%,,,,,,,,,,
31,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",5716,,7200,,5716,,0.2%,,,,,,,,,,
32,"Common Stock (42,053 shares)(16)",-,,6849,,5715,,0.2%,,,,,,,,,,
33,,,,,,64741,,62123,,1.9%,,,,,,,,
34,Portfolio Company,Locale / Industry,Investments(1)(44)(47),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,
35,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,
36,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,
37,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 10.50% PIK, due 4/1/2019)(11)(46)",,293203,,,293203,,,293203.0,,8.8%,,,,,
38,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(11)(46)",276549,,276549,,276549,,8.2%,,,,,,,,,,
39,"Common Stock (2,748,812 shares)",-,,257527,,369123,,11.0%,,,,,,,,,,
40,Net Operating Income Interest (5% of Net Operating Income),-,,-,,92275,,2.8%,,,,,,,,,,
41,,,,,,827279,,1031150,,30.8%,,,,,,,,
