,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,
2,American Property REIT Corp.(8),Various / Real Estate,"Senior Secured Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",,51905,,,51905,,,51905.0,,1.4%,,,,,,,
3,"Common Stock (318,249 shares)",-,,24382,,43170,,1.3%,,,,,,,,,,,,
4,Net Operating Income Interest (5% of Net Operating Income),-,,-,,12418,,0.4%,,,,,,,,,,,,
5,,,,,76287,,107493,,3.1%,,,,,,,,,,,
6,"Arctic Energy Services, LLC(9)",Wyoming / Oil & Gas Services,"Class D Units (32,915 units)",-,,31639,,33116,,1.0%,,,,,,,,,,
7,"Class E Units (21,080 units)",-,,20230,,4500,,0.1%,,,,,,,,,,,,
8,Class A Units (700 units),-,,9006,,-,,-%,,,,,,,,,,,,
9,Class C Units (10 units),-,,-,,-,,-%,,,,,,,,,,,,
10,,,,,60875,,37616,,1.1%,,,,,,,,,,,
11,CCPI Inc.(10),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",12425,,12425,,12425,,0.4%,,,,,,,,,,
12,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)(6)",9320,,9320,,9320,,0.3%,,,,,,,,,,,,
13,"Common Stock (14,957 shares)",-,,6636,,19108,,0.5%,,,,,,,,,,,,
14,,,,,28381,,40853,,1.2%,,,,,,,,,,,
15,CP Energy Services Inc.(11),Oklahoma / Oil & Gas Services,"Series B Convertible Preferred Stock (1,043 shares)",-,,98272,,75423,,2.2%,,,,,,,,,,
16,"Common Stock (2,924 shares)",-,,15227,,-,,-%,,,,,,,,,,,,
17,,,,,113499,,75423,,2.2%,,,,,,,,,,,
18,"Credit Central Loan Company, LLC(12)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(6)(32)",36333,,36333,,36333,,1.0%,,,,,,,,,,
19,"Class A Shares (7,500,000 shares)(32)",-,,11633,,12426,,0.4%,,,,,,,,,,,,
20,Net Revenues Interest (25% of Net Revenues)(32),-,,-,,3627,,0.1%,,,,,,,,,,,,
21,,,,,47966,,52386,,1.5%,,,,,,,,,,,
22,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(6)(30)",37855,,37855,,37855,,1.1%,,,,,,,,,,
23,Membership Interest (99%),-,,19907,,19109,,0.6%,,,,,,,,,,,,
24,,,,,57762,,56964,,1.7%,,,,,,,,,,,
25,"Edmentum Ultimate Holdings, LLC(13)",Minnesota / Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(33)",-,,2742,,2742,,0.1%,,,,,,,,,,
26,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(6)",6209,,6209,,6209,,0.2%,,,,,,,,,,,,
27,"Unsecured Junior PIK Note (10.00% PIK, due 6/9/2020)(6)",28131,,21632,,25092,,0.7%,,,,,,,,,,,,
28,"Class A Common Units (370,964.14 units)",-,,6577,,6245,,0.2%,,,,,,,,,,,,
29,,,,,37160,,40288,,1.2%,,,,,,,,,,,
30,First Tower Finance Company LLC(14),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 12.00% PIK, due 6/24/2019)(6)(32)",255249,,255249,,255249,,7.5%,,,,,,,,,,
31,"Class A Shares (86,711,625 shares)(32)",-,,70476,,102881,,3.0%,,,,,,,,,,,,
32,,,,,325725,,358130,,10.5%,,,,,,,,,,,
33,"Freedom Marine Solutions, LLC(15)",Louisiana / Oil & Gas Services,Membership Interest (100%),-,,40211,,26619,,0.8%,,,,,,,,,,
34,,,,,40211,,26619,,0.8%,,,,,,,,,,,
35,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
36,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
37,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,
38,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), in non-accrual status effective 1/1/2015, due 10/12/2017)(4)(30)",,37379,,,33925,,,9946.0,,0.3%,,,,,,,
39,"Series A Convertible Preferred Stock (99,900 shares)",-,,25950,,-,,-%,,,,,,,,,,,,
40,,,,,59875,,9946,,0.3%,,,,,,,,,,,
41,"Harbortouch Payments, LLC(16)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(3)(4)(30)",128225,,128225,,128225,,3.7%,,,,,,,,,,
42,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)(6)(30)",144878,,144878,,144878,,4.2%,,,,,,,,,,,,
43,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)(30)",19639,,19639,,19639,,0.6%,,,,,,,,,,,,
44,Class C Shares (535 shares),-,,8689,,42938,,1.3%,,,,,,,,,,,,
45,,,,,301431,,335680,,9.8%,,,,,,,,,,,
46,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)(30)",18250,,18250,,18250,,0.5%,,,,,,,,,,
47,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(3)(4)(6)(30)",16442,,16442,,16442,,0.5%,,,,,,,,,,,,
48,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(32)",7200,,7200,,5555,,0.2%,,,,,,,,,,,,
49,"Common Stock (42,053 shares)",-,,6849,,17376,,0.5%,,,,,,,,,,,,
50,,,,,48741,,57623,,1.7%,,,,,,,,,,,
51,National Property REIT Corp.(18),Various / Real Estate,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)(6)(30)",140061,,140061,,140061,,4.1%,,,,,,,,,,
52,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(30)",158079,,158079,,158079,,4.6%,,,,,,,,,,,,
53,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(4)(6)(30)(32)",113131,,113131,,113131,,3.3%,,,,,,,,,,,,
54,"Common Stock (1,000,451 shares)",-,,114794,,130439,,3.8%,,,,,,,,,,,,
55,Net Operating Income Interest (5% of Net Operating Income),-,,-,,36833,,1.1%,,,,,,,,,,,,
56,,,,,526065,,578543,,16.9%,,,,,,,,,,,
57,Nationwide Loan Company LLC(19),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(6)(32)",16696,,16696,,16696,,0.5%,,,,,,,,,,
58,"Class A Shares (30,192,535 shares)(32)",-,,16201,,17502,,0.5%,,,,,,,,,,,,
59,,,,,32897,,34198,,1.0%,,,,,,,,,,,
60,"NMMB, Inc.(20)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,,3714,,3714,,0.1%,,,,,,,,,,
61,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",7000,,7000,,7000,,0.2%,,,,,,,,,,,,
62,"Series A Preferred Stock (7,200 shares)",-,,7200,,2556,,0.1%,,,,,,,,,,,,
63,"Series B Preferred Stock (5,669 shares)",-,,5669,,-,,-%,,,,,,,,,,,,
64,,,,,23583,,13270,,0.4%,,,,,,,,,,,
65,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)(30)",28622,,28622,,28622,,0.8%,,,,,,,,,,
66,"Common Stock (545,107 shares)",-,,5087,,4891,,0.1%,,,,,,,,,,,,
67,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",-,,1682,,1794,,0.1%,,,,,,,,,,,,
68,,,,,35391,,35307,,1.0%,,,,,,,,,,,
69,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
70,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,
