,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,,
2,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,,35048,,,35048,,,35048.0,,1.1%,,,,,,,
3,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,,,63225,,63225,,1.9%,,,,,,,,,,,,
4,"Common Stock (102,924 shares)(16)",8/2/2013,,,81203,,27308,,0.8%,,,,,,,,,,,,
5,,,,,,,179476,,125581,,3.8%,,,,,,,,,,
6,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,54979,,51590,,54979,,1.7%,,,,,,,,,,
7,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,,,13730,,14098,,0.4%,,,,,,,,,,,,
8,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,,,-,,473,,-%,,,,,,,,,,,,
9,,,,,,,65320,,69550,,2.1%,,,,,,,,,,
10,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (12.25% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,36128,,36128,,36128,,1.1%,,,,,,,,,,
11,"Senior Secured Term Loan (11.50% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,18063,,18063,,18063,,0.5%,,,,,,,,,,,,
12,Membership Interest (100%)(16),3/31/2014,,,22738,,35419,,1.1%,,,,,,,,,,,,
13,,,,,,,76929,,89610,,2.7%,,,,,,,,,,
14,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,272170,,272170,,272170,,8.2%,,,,,,,,,,
15,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,,,81146,,205788,,6.2%,,,,,,,,,,,,
16,,,,,,,353316,,477958,,14.4%,,,,,,,,,,
17,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,,,43892,,14120,,0.4%,,,,,,,,,,
18,,,,,,,43892,,14120,,0.4%,,,,,,,,,,
19,"InterDent, Inc.(52)",Health Care Providers & Services,"Senior Secured Term Loan A/B (2.75% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,,14000,,14000,,0.4%,,,,,,,,,,
20,"Senior Secured Term Loan A (8.00% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,,77994,,77994,,2.3%,,,,,,,,,,,,
21,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(46)",8/3/2012,111598,,111598,,111598,,3.4%,,,,,,,,,,,,
22,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,39095,,35766,,18937,,0.6%,,,,,,,,,,,,
23,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5027,,5001,,-,,-%,,,,,,,,,,,,
24,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,,,-,,-,,-%,,,,,,,,,,,,
25,,,,,,,244359,,222529,,6.7%,,,,,,,,,,
26,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
27,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
28,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,,
29,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,,26250,,,26250,,,26250.0,,0.8%,,,,,,,
30,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",6/23/2014,25918,,25918,,18039,,0.5%,,,,,,,,,,,,
31,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5515,,7057,,-,,-%,,,,,,,,,,,,
32,"Common Stock (42,053 shares)(16)",9/19/2013,,,6849,,-,,-%,,,,,,,,,,,,
33,,,,,,,66074,,44289,,1.3%,,,,,,,,,,
34,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,,433553,,433553,,13.0%,,,,,,,,,,
35,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,172000,,172000,,172000,,5.2%,,,,,,,,,,,,
36,"Common Stock (3,110,101 shares)",12/31/2013,,,163836,,263982,,7.9%,,,,,,,,,,,,
37,Residual Profit Interest (25% of Residual Profit),12/31/2018,,,-,,87779,,2.6%,,,,,,,,,,,,
38,,,,,,,769389,,957314,,28.7%,,,,,,,,,,
39,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,18148,,18148,,18148,,0.6%,,,,,,,,,,
40,"Class A Units (32,456,159 units)(14)(16)",1/31/2013,,,21962,,13735,,0.4%,,,,,,,,,,,,
41,,,,,,,40110,,31883,,1.0%,,,,,,,,,,
42,"NMMB, Inc.(28)",Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5/6/2011,3714,,3714,,3714,,0.1%,,,,,,,,,,
43,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6/12/2014,900,,900,,900,,-%,,,,,,,,,,,,
44,"Series A Preferred Stock (7,200 shares)(16)",12/12/2013,,,7200,,11432,,0.4%,,,,,,,,,,,,
45,"Series B Preferred Stock (5,669 shares)(16)",12/12/2013,,,5669,,9001,,0.3%,,,,,,,,,,,,
46,,,,,,,17483,,25047,,0.8%,,,,,,,,,,
47,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.75% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(13)(15)",9/26/2014,24825,,24825,,24825,,0.7%,,,,,,,,,,
48,"Senior Secured Term Loan A (7.75% PIK (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,99214,,96000,,99214,,3.0%,,,,,,,,,,,,
49,"Senior Secured Term Loan B (11.75% PIK (LIBOR + 9.25% with 1.00% LIBOR floor), in non-accrual status effective 5/21/2018, due 9/26/2020)(13)",12/31/2014,106881,,96500,,6412,,0.2%,,,,,,,,,,,,
50,"Convertible Preferred Equity (100,000 shares)(16)",6/15/2018,,,15000,,-,,-%,,,,,,,,,,,,
51,"Common Stock (6,778,414 shares)(16)",9/29/2017,,,-,,-,,-%,,,,,,,,,,,,
52,,,,,,,232325,,130451,,3.9%,,,,,,,,,,
53,"R-V Industries, Inc.",Machinery,"Senior Subordinated Note (11.61% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(11)",6/12/2013,28622,,28622,,28622,,0.8%,,,,,,,,,,
54,"Common Stock (745,107 shares)(16)",6/26/2007,,,6866,,2819,,0.1%,,,,,,,,,,,,
55,,,,,,,35488,,31441,,0.9%,,,,,,,,,,
56,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
57,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,,,,,
58,Control Investments (greater than 25.00% voting control)(47),,,,,,,,,,,,,,,,,,,,
59,"Universal Turbine Parts, LLC(54)",Trading Companies & Distributors,"Delayed Draw Term Loan – $5,000 Commitment (10.25% (LIBOR + 7.75% with 2.50% LIBOR floor), due 9/30/2020)(15)",2/28/2019,,-,,,-,,,-,,-%,,,,,,,
60,"Senior Secured Term Loan A (8.56% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(11)",7/22/2016,30875,,30875,,30080,,0.9%,,,,,,,,,,,,
61,"Senior Secured Term Loan B (14.56% PIK (LIBOR + 11.75% with 1.00% LIBOR floor), in non-accrual status effective 7/1/2018, due 7/22/2021)(11)",7/22/2016,34861,,32500,,697,,-%,,,,,,,,,,,,
