,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
1,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
2,Control Investments (greater than 25.00% voting control)(44),,,,,,,,,,,
3,American Property  REIT Corp.(32),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,169511,,,169511,,,169511.0,4.6%
4,"Common Stock (272,116 shares)",,35006,,28178,,0.8%,,,,,
5,,,,,204517,,197689,,5.4%,,,
6,"Arctic Energy  Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
7,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
8,Class A Units (700 units),,9006,,9505,,0.3%,,,,,
9,,,,,60876,,61375,,1.7%,,,
10,"ARRM Services, Inc.(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,,19337,,19337,,0.5%,,
11,"Series B Preferred Stock (25,000 shares)",,21156,,9399,,0.3%,,,,,
12,"Series A Convertible Preferred Stock (6,142.60 shares)",,6057,,-,,-%,,,,,
13,Common Stock (6.00 shares),,-,,-,,-%,,,,,
14,,,,,46550,,28736,,0.8%,,,
15,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",17100,,17100,,17100,,0.5%,,
16,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8390,,8390,,8390,,0.2%,,,,
17,"Common Stock (14,857 shares)",,8553,,7143,,0.2%,,,,,
18,,,,,34043,,32633,,0.9%,,,
19,"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),,-,,-,,-%,,,
20,,,,,-,,-,,-%,,,
21,"Coalbed, LLC(12)",Tennessee / Oil & Gas Production,"Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)(6)",8771,,5991,,-,,-%,,
22,Membership Interest (100%),,-,,-,,-%,,,,,
23,,,,,5991,,-,,-%,,,
24,CP Energy  Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
25,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(4)",72238,,72238,,72238,,2.0%,,,,
26,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15000,,15000,,15000,,0.4%,,,,
27,"Common Stock (2,924 shares)",,15227,,30913,,0.8%,,,,,
28,,,,,113500,,129186,,3.5%,,,
29,"Credit Central Loan  Company, LLC(22)(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)",36333,,36333,,36333,,1.0%,,
30,"Class A Shares (7,500,000 shares)",,11632,,10548,,0.3%,,,,,
31,,,,,47965,,46881,,1.3%,,,
