,0,1,2,3,4,5,6,7,8,9,10,11
0,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
1,Control Investments (greater than 25.00% voting control)(44),,,,,,,,,,,
2,American Property  REIT Corp.(32),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,169511,,,169511,,,169511.0,4.6%
3,"Common Stock (272,116 shares)",,35006,,28178,,0.8%,,,,,
4,,,,,204517,,197689,,5.4%,,,
5,"Arctic Energy  Services, LLC(30)",Wyoming / Oil & Gas Production,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",31640,,31640,,31640,,0.9%,,
6,"Senior Subordinated Term Loan (14.00% (LIBOR + 11.00% with 3.00% LIBOR floor), due 5/5/2019)(3)(4)",20230,,20230,,20230,,0.5%,,,,
7,Class A Units (700 units),,9006,,9505,,0.3%,,,,,
8,,,,,60876,,61375,,1.7%,,,
9,"ARRM Services, Inc.(42)",South Carolina / Manufacturing,"Senior Secured Note to Ajax Rolled Ring & Machine, LLC (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(4)",19337,,19337,,19337,,0.5%,,
10,"Series B Preferred Stock (25,000 shares)",,21156,,9399,,0.3%,,,,,
11,"Series A Convertible Preferred Stock (6,142.60 shares)",,6057,,-,,-%,,,,,
12,Common Stock (6.00 shares),,-,,-,,-%,,,,,
13,,,,,46550,,28736,,0.8%,,,
14,CCPI Inc.(33),Ohio / Manufacturing,"Senior Secured Term Loan A (10.00%, due 12/31/2017)(3)",17100,,17100,,17100,,0.5%,,
15,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2017)",8390,,8390,,8390,,0.2%,,,,
16,"Common Stock (14,857 shares)",,8553,,7143,,0.2%,,,,,
17,,,,,34043,,32633,,0.9%,,,
18,"Change Clean Energy Company, LLC(8)",Maine / Energy,Membership Interest (100%),,-,,-,,-%,,,
19,,,,,-,,-,,-%,,,
20,"Coalbed, LLC(12)",Tennessee / Oil & Gas Production,"Senior Secured Note (8.00%, in non-accrual status effective 1/19/2010, past due)(6)",8771,,5991,,-,,-%,,
21,Membership Interest (100%),,-,,-,,-%,,,,,
22,,,,,5991,,-,,-%,,,
23,CP Energy  Services Inc.(38),Oklahoma / Oil & Gas Production,"Senior Secured Term Loan A to CP Well Testing, LLC (7.00% (LIBOR + 5.00% with 2.00% LIBOR floor), due 4/1/2019)(4)",11035,,11035,,11035,,0.3%,,
24,"Senior Secured Term Loan B to CP Well Testing, LLC (10.00% (LIBOR + 8.00% with 2.00% LIBOR floor) plus 7.50% PIK, due 4/1/2019)(4)",72238,,72238,,72238,,2.0%,,,,
25,"Second Lien Term Loan to CP Well Testing, LLC (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor) plus 9.00% PIK, due 4/1/2019)(4)",15000,,15000,,15000,,0.4%,,,,
26,"Common Stock (2,924 shares)",,15227,,30913,,0.8%,,,,,
27,,,,,113500,,129186,,3.5%,,,
28,"Credit Central Loan  Company, LLC(22)(34)",Ohio / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)",36333,,36333,,36333,,1.0%,,
29,"Class A Shares (7,500,000 shares)",,11632,,10548,,0.3%,,,,,
30,,,,,47965,,46881,,1.3%,,,
31,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Revolving Credit Facility – $150,000 Commitment (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(4)(25)",40808,,40808,,40808,,1.1%,,
32,"Class A Shares (11,335,318 shares)",,19907,,10896,,0.3%,,,,,
33,,,,,60715,,51704,,1.4%,,,
34,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
35,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
36,Control Investments (greater than 25.00% voting control)(44),,,,,,,,,,,
37,First Tower Finance Company LLC(22)(29),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)",,251246,,,251246,,,251246.0,6.9%
38,"Class A Shares (83,729,323 shares)",,64544,,73729,,2.0%,,,,,
39,,,,,315790,,324975,,8.9%,,,
40,"Freedom Marine Solutions, LLC(8)",Louisiana / Energy,"Senior Secured Note to Vessel Company, LLC (18.00%, due 12/12/2016)",3500,,3500,,3500,,0.1%,,
41,"Senior Secured Note to Vessel Company II, LLC (13.00%, due 11/25/2018)",13000,,12504,,12504,,0.3%,,,,
42,"Senior Secured Note to Vessel Company III, LLC (13.00%, due 12/3/2018)",16000,,16000,,16000,,0.4%,,,,
43,Membership Interest (100%),,7807,,2905,,0.1%,,,,,
44,,,,,39811,,34909,,0.9%,,,
45,Gulf Coast Machine & Supply Company,Texas / Manufacturing,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 10/12/2017)(4)",19500,,19500,,13674,,0.4%,,
46,"Series A Convertible Preferred Stock (99,900 shares)",,25950,,-,,-%,,,,,
47,,,,,45450,,13674,,0.4%,,,
48,"Harbortouch  Payments, LLC(43)",Pennsylvania / Business Services,"Senior Secured Term Loan A (9.00% (LIBOR + 7.00% with 2.00% LIBOR floor), due 9/30/2017)(4)",130589,,130589,,130589,,3.6%,,
49,"Senior Secured Term Loan B (5.50% (LIBOR + 4.00% with 1.50% LIBOR floor) plus 5.50% PIK, due 3/31/2018)(4)",137226,,137226,,137226,,3.8%,,,,
50,"Senior Secured Term Loan C (13.00% (LIBOR + 9.00% with 4.00% LIBOR floor), due 9/29/2018)(4)",26431,,26431,,26431,,0.7%,,,,
51,Class A Shares (535 shares),,7489,,24005,,0.6%,,,,,
52,,,,,301735,,318251,,8.7%,,,
53,"The Healing Staff, Inc.(9)",North Carolina / Contracting,"Secured Promissory Notes to The Healing Staff, Inc. and Vets Securing America, Inc. (15.00%, in non-accrual status effective 12/22/2010, past due)",1688,,1687,,-,,-%,,
54,"Senior Demand Note to The Healing Staff, Inc. (15.00%, in non-accrual status effective 11/1/2010, past due)",1170,,1170,,-,,-%,,,,
55,"Common Stock of The Healing Staff, Inc. (1,000 shares)",,-,,-,,-%,,,,,
56,"Common Stock of Vets Securing America, Inc. (1 share)",,975,,-,,-%,,,,,
57,,,,,3832,,-,,-%,,,
58,"Manx Energy, Inc.(6)(12)",Kansas / Oil & Gas Production,"Senior Secured Note (13.00%, in non-accrual status effective 1/19/2010, past due)",50,,50,,-,,-%,,
59,"Series A-1 Preferred Stock (6,635 shares)",,-,,-,,-%,,,,,
60,"Common Stock (17,082 shares)",,-,,-,,-%,,,,,
61,,,,,50,,-,,-%,,,
62,"MITY, Inc.(17)",Utah / Durable Consumer Products,"Revolving Line of Credit – $7,500 Commitment (9.50% (LIBOR + 7.00% with 2.50% LIBOR floor), due 12/23/2014)(4)(25)",500,,500,,500,,-%,,
63,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 3/19/2019)(3)(4)",18250,,18250,,18250,,0.5%,,,,
64,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 3/19/2019)(4)",15769,,15769,,15769,,0.4%,,,,
65,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)",6593,,6593,,6593,,0.2%,,,,
66,"Common Stock (42,053 shares)",,7456,,11415,,0.3%,,,,,
67,,,,,48568,,52527,,1.4%,,,
68,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Cost,Fair  Value(2),% of Net Assets,,,,,
69,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,
70,Control Investments (greater than 25.00% voting control)(44),,,,,,,,,,,
71,National Property  REIT Corp.(40),Various /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(4)",,138367,,,138367,,,138367.0,3.8%
72,"Common Stock (84,567 shares)",,26913,,28463,,0.8%,,,,,
73,,,,,165280,,166830,,4.6%,,,
74,Nationwide Acceptance LLC(22)(36),Illinois / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/18/2019)",14820,,14820,,14820,,0.4%,,
75,"Class A Shares (24,029,326 shares)",,12248,,13012,,0.4%,,,,,
76,,,,,27068,,27832,,0.8%,,,
77,"NMMB, Inc.(24)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2016)",3714,,3714,,1864,,0.1%,,
78,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2016)",7000,,7000,,3514,,0.1%,,,,
79,"Series A Preferred Stock (7,200 shares)",,12486,,-,,-%,,,,,
80,,,,,23200,,5378,,0.2%,,,
81,"R-V Industries, Inc.",Pennsylvania / Manufacturing,"Senior Subordinated Note (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 6/12/2018)(3)(4)",30411,,30411,,30411,,0.8%,,
82,"Common Stock (545,107 shares)",,5087,,18876,,0.5%,,,,,
83,"Warrant (to purchase 200,000 shares of Common Stock, expires 6/30/2017)",,1682,,6926,,0.2%,,,,,
84,,,,,37180,,56213,,1.5%,,,
