,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets
1,,LEVEL 3 PORTFOLIO INVESTMENTS:,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,,,
2,,Control Investments (greater than 25.00% voting control)  (42),,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,,,
3,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 27,881",,"$ 27,881",,"$ 27,881",,0.9%
4,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,19698,,19698,,19698,,0.6%
5,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Convertible Preferred Stock (9,919.684 shares)",,19698,,9920,,1888,,0.1%
6,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,Common Stock (100 shares),,19698,,-,,-,,0.0%
7,,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,Common Stock (100 shares),,19698,,57499,,49467,,1.6%
8,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19536,,19536,,19536,,0.6%
9,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Convertible Preferred Stock - Series B (25,000 shares)",,19536,,25000,,5045,,0.2%
10,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,19536,,6057,,-,,0.0%
11,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,Unrestricted Common Stock (6 shares),,19536,,-,,-,,0.0%
12,,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,Unrestricted Common Stock (6 shares),,19536,,50593,,24581,,0.8%
13,,"APH Property Holdings, LLC  (32)",,Florida / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,161662,,161662,,161662,,5.0%
14,,"APH Property Holdings, LLC  (32)",,Florida / Real Estate,,Membership Units (100 shares),,161662,,32240,,32240,,1.0%
15,,"APH Property Holdings, LLC  (32)",,Florida / Real Estate,,Membership Units (100 shares),,161662,,193902,,193902,,6.0%
16,,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,161662,,-,,-,,0.0%
17,,"AWCNC, LLC  (19)",,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class A (1,800,000 units)",,161662,-,-,-,,0.0%,
18,,"AWCNC, LLC  (19)",,North Carolina / Machinery,Members Units - Class B-1 (1 unit),"Members Units - Class B-2 (7,999,999 units)",,161662,-,-,,-,,0.0%
