,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,,2797,,,2797,,,2797.0,,0.1%,,,,
1,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17566,12/13/2012,17566,2797,17566,,0.5%,,,2797.0,,0.1%,,,,
2,"Common Stock (14,857 shares)(16)",12/13/2012,17566,12/13/2012,6759,2797,20919,,0.6%,,,2797.0,,0.1%,,,,
3,"Common Stock (14,857 shares)(16)",12/13/2012,17566,12/13/2012,6759,2797,27122,,41282,,1.2%,2797.0,,0.1%,,,,
4,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,2797,35048,,35048,,1.1%,2797.0,,0.1%,,,,
5,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,63225,2797,63225,,1.9%,,1.1%,2797.0,,0.1%,,,,
6,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2797,31945,,1.0%,,1.1%,2797.0,,0.1%,,,,
7,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.81% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2797,179476,,130218,,4.0%,2797.0,,0.1%,,,,
8,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,53631,2797,50180,,53631,,1.6%,2797.0,,0.1%,,,,
9,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,13731,2797,14292,,0.5%,,1.6%,2797.0,,0.1%,,,,
10,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,2797,938,,-%,,1.6%,2797.0,,0.1%,,,,
11,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,2797,63911,,68861,,2.1%,2797.0,,0.1%,,,,
12,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.83% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,33811,2797,33811,,33811,,1.0%,2797.0,,0.1%,,,,
13,"Senior Secured Term Loan (11.08% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,17012,3/31/2014,17012,2797,17012,,0.5%,,1.0%,2797.0,,0.1%,,,,
14,Membership Interest (100%)(16),3/31/2014,17012,3/31/2014,22738,2797,40997,,1.3%,,1.0%,2797.0,,0.1%,,,,
15,Membership Interest (100%)(16),3/31/2014,17012,3/31/2014,22738,2797,73561,,91820,,2.8%,2797.0,,0.1%,,,,
16,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,272170,2797,272170,,272170,,8.2%,2797.0,,0.1%,,,,
17,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,81146,2797,173197,,5.3%,,8.2%,2797.0,,0.1%,,,,
18,"Class A Units (95,709,910 units)(14)(16)",6/24/2014,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.00% PIK, due 6/24/2019)(14)(46)",6/24/2014,81146,2797,353316,,445367,,13.5%,2797.0,,0.1%,,,,
19,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,81146,2797,43892,,10024,,0.3%,2797.0,,0.1%,,,,
20,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),10/1/2009,81146,2797,43892,,10024,,0.3%,2797.0,,0.1%,,,,
21,"InterDent, Inc.(52)",Health Care Providers & Services,"Senior Secured Term Loan A (8.03% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,2797,77994,,77994,,2.4%,2797.0,,0.1%,,,,
22,"Senior Secured Term Loan B (16.00% PIK, due 9/5/2020)(46)",8/3/2012,107397,8/3/2012,107397,2797,107397,,3.2%,,2.4%,2797.0,,0.1%,,,,
23,"Senior Secured Term Loan A/B (2.78% (LIBOR + 0.25% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,8/3/2012,14000,2797,14000,,0.4%,,2.4%,2797.0,,0.1%,,,,
24,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,37447,8/3/2012,35766,2797,21967,,0.7%,,2.4%,2797.0,,0.1%,,,,
25,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5014,8/3/2012,5001,2797,-,,-%,,2.4%,2797.0,,0.1%,,,,
26,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,5014,8/3/2012,-,2797,-,,-%,,2.4%,2797.0,,0.1%,,,,
27,"Warrants (to purchase 99,900 shares of Common Stock, expires 9/19/2030)(16)",2/23/2018,5014,8/3/2012,-,2797,240158,,221358,,6.7%,2797.0,,0.1%,,,,
28,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(53),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,221358,,6.7%,2797.0,,0.1%,,,,
29,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,Principal Value,26250,Fair  Value(2),% of Net Assets,26250,,6.7%,26250.0,,0.8%,,,,
30,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(11)(46)",6/23/2014,25498,9/19/2013,25498,26250,25498,% of Net Assets,0.8%,,6.7%,26250.0,,0.8%,,,,
31,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5402,9/19/2013,7200,26250,451,% of Net Assets,-%,,6.7%,26250.0,,0.8%,,,,
32,"Common Stock (42,053 shares)(16)",9/19/2013,5402,9/19/2013,6849,26250,-,% of Net Assets,-%,,6.7%,26250.0,,0.8%,,,,
33,"Common Stock (42,053 shares)(16)",9/19/2013,5402,9/19/2013,6849,26250,65797,% of Net Assets,52199,,1.6%,26250.0,,0.8%,,,,
34,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,26250,433553,% of Net Assets,433553,,13.1%,26250.0,,0.8%,,,,
35,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,205000,12/31/2018,205000,26250,205000,% of Net Assets,6.2%,,13.1%,26250.0,,0.8%,,,,
36,"Common Stock (3,110,101 shares)",12/31/2013,205000,12/31/2018,163836,26250,283430,% of Net Assets,8.6%,,13.1%,26250.0,,0.8%,,,,
37,Residual Profit Interest (25% of Residual Profit),12/31/2018,205000,12/31/2018,-,26250,94476,% of Net Assets,2.9%,,13.1%,26250.0,,0.8%,,,,
38,Residual Profit Interest (25% of Residual Profit),12/31/2018,205000,12/31/2018,-,26250,802389,% of Net Assets,1016459,,30.8%,26250.0,,0.8%,,,,
39,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,17854,26250,17854,% of Net Assets,17854,,0.5%,26250.0,,0.8%,,,,
40,"Class A Units (32,456,159 units)(14)(16)",1/31/2013,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,21962,26250,13413,% of Net Assets,0.4%,,0.5%,26250.0,,0.8%,,,,
41,"Class A Units (32,456,159 units)(14)(16)",1/31/2013,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(46)",6/18/2014,21962,26250,39816,% of Net Assets,31267,,0.9%,26250.0,,0.8%,,,,
42,"NMMB, Inc.(28)",Media,"Senior Secured Note (14.00%, due 5/6/2021)(3)",5/6/2011,3714,26250,3714,% of Net Assets,3714,,0.1%,26250.0,,0.8%,,,,
43,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)(3)",6/12/2014,3900,5/6/2011,3900,26250,3900,% of Net Assets,0.1%,,0.1%,26250.0,,0.8%,,,,
44,"Series A Preferred Stock (7,200 shares)(16)",12/12/2013,3900,5/6/2011,7200,26250,9193,% of Net Assets,0.3%,,0.1%,26250.0,,0.8%,,,,
45,"Series B Preferred Stock (5,669 shares)(16)",12/12/2013,3900,5/6/2011,5669,26250,7239,% of Net Assets,0.2%,,0.1%,26250.0,,0.8%,,,,
46,"Series B Preferred Stock (5,669 shares)(16)",12/12/2013,3900,5/6/2011,5669,26250,20483,% of Net Assets,24046,,0.7%,26250.0,,0.8%,,,,
47,Pacific World Corporation(40),Personal Products,"Revolving Line of Credit – $26,000 Commitment (9.76% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(13)(15)",9/26/2014,20825,26250,20825,% of Net Assets,20825,,0.6%,26250.0,,0.8%,,,,
48,"Senior Secured Term Loan A (7.76% (LIBOR + 5.25% with 1.00% LIBOR floor), in non-accrual status effective 10/24/2018, due 9/26/2020)(13)",12/31/2014,97273,9/26/2014,96000,26250,97273,% of Net Assets,3.0%,,0.6%,26250.0,,0.8%,,,,
