,0,1,2,3,4,5,6,7,8,9,10,11
0,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,
1,"Arctic Energy Services, LLC(18)",Wyoming / Energy Equipment & Services,"Class D Units (32,915 units)(16)",Principal Value,Amortized Cost,31640,% of Net Assets,,17370,,0.5%,
2,"Class E Units (21,080 units)(16)",Wyoming / Energy Equipment & Services,20230,Principal Value,-,31640,-%,,,,,
3,Class A Units (700 units)(16),Wyoming / Energy Equipment & Services,9006,Principal Value,-,31640,-%,,,,,
4,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,-,Principal Value,-,31640,-%,,,,,
5,Class C Units (10 units)(16),Wyoming / Energy Equipment & Services,-,Principal Value,60876,31640,17370,,0.5%,,,
6,CCPI Inc.(19),"Ohio / Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",2966,60876,2966,17370,2966,,0.1%,,
7,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(48)",18216,"Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",18216,60876,18216,17370,0.5%,,,,
8,"Common Stock (14,857 shares)",18216,6759,18216,21870,18216,0.7%,0.5%,,,,
9,"Common Stock (14,857 shares)",18216,6759,18216,27941,18216,43052,0.5%,1.3%,,,
10,CP Energy Services Inc.(20),Oklahoma / Energy Equipment & Services,"Series B Convertible Preferred Stock (1,043 shares)(16)",18216,98273,18216,72216,0.5%,2.2%,,,
11,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,15227,18216,-,18216,-%,0.5%,,,,
12,"Common Stock (2,924 shares)(16)",Oklahoma / Energy Equipment & Services,15227,18216,113500,18216,72216,0.5%,2.2%,,,
13,"Credit Central Loan Company, LLC(21)",South Carolina / Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2019)(14)(48)",51855,113500,45255,72216,51855,,1.5%,,
14,"Class A Units (10,640,642 units)(14)(16)",South Carolina / Consumer Finance,13731,51855,9881,45255,0.3%,51855,,,,
15,Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,-,51855,2699,45255,0.1%,51855,,,,
16,Net Revenues Interest (25% of Net Revenues)(14)(16),South Carolina / Consumer Finance,-,51855,58986,45255,64435,51855,1.9%,,,
17,Echelon Aviation LLC,New York / Aerospace & Defense,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(48)",31055,58986,31055,64435,31055,,0.9%,,
18,"Senior Secured Term Loan (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(10)(13)(48)",16044,"Senior Secured Term Loan (11.75% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(10)(13)(48)",16044,58986,16044,64435,0.5%,,,,
19,Membership Interest (99%),16044,22738,16044,24219,16044,0.7%,0.5%,,,,
20,Membership Interest (99%),16044,22738,16044,69837,16044,71318,0.5%,2.1%,,,
21,"Edmentum Ultimate Holdings, LLC(22)",Minnesota / Diversified Consumer Services,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",7834,69837,7834,71318,7834,,0.2%,,
22,"Unsecured Senior PIK Note (8.50% PIK, due 6/9/2020)(48)",6905,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",6905,69837,6905,71318,0.2%,,,,
23,"Unsecured Junior PIK Note (10.00% PIK, in non-accrual status effective 1/1/2017, due 6/9/2020)",31870,"Second Lien Revolving Credit Facility to Edmentum, Inc. – $7,834 Commitment (5.00%, due 6/9/2020)(15)",23829,69837,31870,71318,1.0%,,,,
24,"Class A Units (370,964 units)(16)",31870,6577,23829,286,31870,-%,1.0%,,,,
25,"Class A Units (370,964 units)(16)",31870,6577,23829,45145,31870,46895,1.0%,1.4%,,,
26,First Tower Finance Company LLC(23),Mississippi / Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 7.00% PIK, due 6/24/2019)(14)(48)",261114,45145,261114,46895,261114,,7.8%,,
27,"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,78481,261114,104474,261114,3.1%,261114,,,,
28,"Class A Units (93,997,533 units)(14)(16)",Mississippi / Consumer Finance,78481,261114,339595,261114,365588,261114,10.9%,,,
29,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),261114,42610,261114,23994,261114,0.7%,,,
30,"Freedom Marine Solutions, LLC(24)",Louisiana / Energy Equipment & Services,Membership Interest (100%)(16),261114,42610,261114,23994,261114,0.7%,,,
31,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,261114,,,,
32,"MITY, Inc.(25)",Utah / Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",Principal Value,26250,Fair  Value(2),% of Net Assets,26250,,,26250.0,0.8%
33,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 1/30/2020)(3)(10)(11)(48)",24442,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",24442,26250,24442,% of Net Assets,0.7%,,,,
34,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due on demand)(14)",5659,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(10)(11)",7200,26250,5659,% of Net Assets,0.2%,,,,
35,"Common Stock (42,053 shares)",5659,6849,7200,20161,5659,0.6%,0.2%,,,,
36,"Common Stock (42,053 shares)",5659,6849,7200,64741,5659,76512,0.2%,2.3%,,,
37,National Property REIT Corp.(26),Various / Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(48)",291315,64741,291315,76512,291315,,8.7%,,
38,"Senior Secured Term Loan E (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(48)",122314,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(48)",122314,64741,122314,76512,3.6%,,,,
39,"Senior Secured Term Loan C to ACL Loan Holdings, Inc. (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 4/1/2019)(10)(11)(14)(48)",59722,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(48)",59722,64741,59722,76512,1.8%,,,,
40,"Senior Secured Term Loan C to American Consumer Lending Limited (11.00% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 5.00% PIK, due 12/15/2020)(10)(11)(14)(48)",87130,"Senior Secured Term Loan A (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 4/1/2019)(10)(11)(48)",87130,64741,87130,76512,2.6%,,,,
41,"Common Stock (2,280,992 shares)(16)",87130,229815,87130,338046,87130,10.1%,2.6%,,,,
42,Net Operating Income Interest (5% of Net Operating Income),87130,-,87130,88777,87130,2.6%,2.6%,,,,
43,Net Operating Income Interest (5% of Net Operating Income),87130,-,87130,790296,87130,987304,2.6%,29.4%,,,
44,Nationwide Loan Company LLC(27),Illinois / Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2019)(14)(48)",16819,790296,16819,987304,16819,,0.5%,,
45,"Class A Units (32,456,159 units)(14)",Illinois / Consumer Finance,18183,16819,20126,16819,0.6%,16819,,,,
46,"Class A Units (32,456,159 units)(14)",Illinois / Consumer Finance,18183,16819,35002,16819,36945,16819,1.1%,,,
47,"NMMB, Inc.(28)",New York / Media,"Senior Secured Note (14.00%, due 5/6/2021)",3714,35002,3714,36945,3714,,0.1%,,
48,"Senior Secured Note to Armed Forces Communications, Inc. (14.00%, due 5/6/2021)",6900,"Senior Secured Note (14.00%, due 5/6/2021)",6900,35002,6900,36945,0.2%,,,,
49,"Series A Preferred Stock (7,200 shares)(16)",6900,7200,6900,5713,6900,0.2%,0.2%,,,,
50,"Series B Preferred Stock (5,669 shares)(16)",6900,5669,6900,4498,6900,0.1%,0.2%,,,,
51,"Series B Preferred Stock (5,669 shares)(16)",6900,5669,6900,23483,6900,20825,0.2%,0.6%,,,
52,"R-V Industries, Inc.",Pennsylvania / Machinery,"Senior Subordinated Note (10.30% (LIBOR + 9.00% with 1.00% LIBOR floor), due 3/31/2022)(3)(10)(11)",28622,23483,28622,20825,28622,,0.9%,,
53,"Common Stock (745,107 shares)",Pennsylvania / Machinery,6866,28622,4056,28622,0.1%,28622,,,,
54,"Common Stock (745,107 shares)",Pennsylvania / Machinery,6866,28622,35488,28622,32678,28622,1.0%,,,
55,"SB Forging Company II, Inc. (f/k/a Gulf Coast Machine & Supply Company)(29)",Texas / Energy Equipment & Services,"Series A Convertible Preferred Stock (99,900 shares)(16)",28622,-,28622,1940,28622,0.1%,,,
56,Common Stock (100 shares)(16),Texas / Energy Equipment & Services,-,28622,-,28622,-%,28622,,,,
57,Common Stock (100 shares)(16),Texas / Energy Equipment & Services,-,28622,-,28622,1940,28622,0.1%,,,
58,Portfolio Company,Locale / Industry,Investments(1),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,28622,,,,
59,USES Corp.(30),Texas / Commercial Services & Supplies,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",Principal Value,31068,Fair  Value(2),% of Net Assets,28604,,,12517.0,0.4%
60,"Senior Secured Term Loan B (15.50% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",41475,"Senior Secured Term Loan A (9.00% PIK, in non-accrual status effective 4/1/2016, due 7/22/2020)",35568,31068,-,% of Net Assets,-%,,,,
61,"Common Stock (268,962 shares)(16)",41475,-,35568,-,-,-%,-%,,,,
62,"Common Stock (268,962 shares)(16)",41475,-,35568,64172,-,12517,-%,0.4%,,,
63,"Valley Electric Company, Inc.(31)",Washington / Construction & Engineering,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(48)",10430,64172,10430,12517,10430,,0.3%,,
64,"Senior Secured Note (10.00% plus 8.50% PIK, due 6/23/2024)(48)",25624,"Senior Secured Note to Valley Electric Co. of Mt. Vernon, Inc. (8.00% (LIBOR + 5.00% with 3.00% LIBOR floor) plus 2.50% PIK, due 12/31/2024)(3)(10)(11)(48)",25624,64172,22079,12517,0.7%,,,,
65,"Common Stock (50,000 shares)(16)",25624,26204,25624,-,22079,-%,0.7%,,,,
66,"Common Stock (50,000 shares)(16)",25624,26204,25624,62258,22079,32509,0.7%,1.0%,,,
67,"Wolf Energy, LLC(32)",Kansas / Energy Equipment & Services,Membership Interest (100%)(16),25624,-,22079,-,0.7%,-%,,,
