,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.60% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,,35048,,,35048,,,35048,,1.1,%,,,,,,
1,"Senior Secured Term Loan A to Spartan Energy Services, LLC (10.44% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/2/2019)(13)",10/20/2014,13156,12/29/2017,13156,35048,13156,,0.4,%,,35048,,1.1,%,,,,,,
2,"Senior Secured Term Loan B to Spartan Energy Services, LLC (16.44% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), due 12/2/2019)(13)(46)",10/20/2014,21243,12/29/2017,21243,35048,21243,,0.6,%,,35048,,1.1,%,,,,,,
3,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,21243,12/29/2017,63225,35048,63225,,1.9,%,,35048,,1.1,%,,,,,,
4,"Common Stock (102,924 shares)(16)",8/2/2013,21243,12/29/2017,81203,35048,6259,,0.2,%,,35048,,1.1,%,,,,,,
5,"Common Stock (102,924 shares)(16)",8/2/2013,21243,12/29/2017,81203,35048,213875,,138931,%,4.2,%,,1.1,%,,,,,,
6,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,55899,35048,52579,,55899,%,1.7,%,,1.1,%,,,,,,
7,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,13731,35048,15518,,0.5,%,1.7,%,,1.1,%,,,,,,
8,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,35048,-,,-,%,1.7,%,,1.1,%,,,,,,
9,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,35048,66310,,71417,%,2.2,%,,1.1,%,,,,,,
10,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (12.25% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,36778,35048,36778,,36778,%,1.1,%,,1.1,%,,,,,,
