,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Portfolio Company,,Locale / Industry,,Investments  (1),,Principal  Value,,Cost,,Fair  Value  (2),,% of Net  Assets,
1,"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",Investments  (1),"$ 28,600",Principal  Value,"$ 28,600",Cost,"$ 28,600",,1.0%,,
2,"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",Investments  (1),12500,Principal  Value,12500,Cost,12500,,0.4%,,
3,"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,"Convertible Preferred Stock (9,919.684 shares)",Investments  (1),12500,Principal  Value,9920,Cost,8920,,0.3%,,
4,"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,Common Stock (100 shares),Investments  (1),12500,Principal  Value,-,Cost,1391,,0.1%,,
5,"AIRMALL USA, Inc.  (27)",Portfolio Company,Pennsylvania / Property Management,Locale / Industry,Common Stock (100 shares),Investments  (1),12500,Principal  Value,51020,Cost,51411,,1.8%,,
6,"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",Investments  (1),19636,Principal  Value,19636,Cost,19636,,0.7%,,
7,"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Subordinated Unsecured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 3/30/2018)  (4)",Investments  (1),20008,Principal  Value,20008,Cost,8448,,0.3%,,
8,"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,"Convertible Preferred Stock - Series A (6,142.6 shares)",Investments  (1),20008,Principal  Value,6057,Cost,-,,0.0%,,
9,"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,Unrestricted Common Stock (6 shares),Investments  (1),20008,Principal  Value,-,Cost,-,,0.0%,,
10,"Ajax Rolled Ring & Machine, Inc.",Portfolio Company,South Carolina / Manufacturing,Locale / Industry,Unrestricted Common Stock (6 shares),Investments  (1),20008,Principal  Value,45701,Cost,28084,,1.0%,,
11,"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",Investments  (1),127374,Principal  Value,127374,Cost,127374,,4.4%,,
12,"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Common Stock (148,951 shares)",Investments  (1),127374,Principal  Value,26648,Cost,26648,,0.9%,,
13,"APH Property Holdings, LLC  (32)",Portfolio Company,Georgia / Real Estate,Locale / Industry,"Common Stock (148,951 shares)",Investments  (1),127374,Principal  Value,154022,Cost,154022,,5.3%,,
14,"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class A (1,800,000 units)",Investments  (1),127374,Principal  Value,-,Cost,-,,0.0%,,
15,"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,Members Units - Class B-1 (1 unit),Investments  (1),127374,Principal  Value,-,Cost,-,,0.0%,,
16,"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class B-2 (7,999,999 units)",Investments  (1),127374,Principal  Value,-,Cost,-,,0.0%,,
17,"AWCNC, LLC  (19)",Portfolio Company,North Carolina / Machinery,Locale / Industry,"Members Units - Class B-2 (7,999,999 units)",Investments  (1),127374,Principal  Value,-,Cost,-,,0.0%,,
