,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)  (3), (4)",,"$ 28,600",,"$ 28,600",,"$ 28,600",,1.0%,,
1,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Senior Subordinated Term Loan (12.00% plus 6.00% PIK, due 12/31/2015)",,12500,,12500,,12500,,0.4%,,
2,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,"Convertible Preferred Stock (9,919.684 shares)",,12500,,9920,,8920,,0.3%,,
3,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,Common Stock (100 shares),,12500,,-,,1391,,0.1%,,
4,"AIRMALL USA, Inc.  (27)",,Pennsylvania / Property Management,,Common Stock (100 shares),,12500,,51020,,51411,,1.8%,,
5,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)  (4)",,19636,,19636,,19636,,0.7%,,
6,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Subordinated Unsecured Term Loan (11.50% (LIBOR + 8.50% with 3.00% LIBOR floor) plus 6.00% PIK, due 3/30/2018)  (4)",,20008,,20008,,8448,,0.3%,,
7,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,"Convertible Preferred Stock - Series A (6,142.6 shares)",,20008,,6057,,-,,0.0%,,
8,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,Unrestricted Common Stock (6 shares),,20008,,-,,-,,0.0%,,
9,"Ajax Rolled Ring & Machine, Inc.",,South Carolina / Manufacturing,,Unrestricted Common Stock (6 shares),,20008,,45701,,28084,,1.0%,,
10,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Senior Secured Note (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)  (4)",,127374,,127374,,127374,,4.4%,,
11,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Common Stock (148,951 shares)",,127374,,26648,,26648,,0.9%,,
12,"APH Property Holdings, LLC  (32)",,Georgia / Real Estate,,"Common Stock (148,951 shares)",,127374,,154022,,154022,,5.3%,,
13,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class A (1,800,000 units)",,127374,,-,,-,,0.0%,,
14,"AWCNC, LLC  (19)",,North Carolina / Machinery,,Members Units - Class B-1 (1 unit),,127374,,-,,-,,0.0%,,
15,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class B-2 (7,999,999 units)",,127374,,-,,-,,0.0%,,
16,"AWCNC, LLC  (19)",,North Carolina / Machinery,,"Members Units - Class B-2 (7,999,999 units)",,127374,,-,,-,,0.0%,,
17,"Borga, Inc.",,California / Manufacturing,,"Revolving Line of Credit - $1,150 Commitment (5.00% (PRIME + 1.75%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4), (25)",,1150,,1095,,562,,0.0%,,
18,"Borga, Inc.",,California / Manufacturing,,"Senior Secured Term Loan B (8.50% (PRIME + 5.25%) plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)  (4)",,1612,,1501,,-,,0.0%,,
19,"Borga, Inc.",,California / Manufacturing,,"Senior Secured Term Loan C (12.00% plus 4.00% PIK plus 3.00% default interest, in non-accrual status effective 03/02/2010, past due)",,9839,,707,,-,,0.0%,,
20,"Borga, Inc.",,California / Manufacturing,,Common Stock (100 shares)  (21),,9839,,-,,-,,0.0%,,
21,"Borga, Inc.",,California / Manufacturing,,"Warrants (33,750 warrants)  (21)",,9839,,-,,-,,0.0%,,
