,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,CCPI Inc.(19),"Electronic Equipment, Instruments & Components","Senior Secured Term Loan A (10.00%, due 12/31/2020)(3)",12/13/2012,,2825,,,2825,,,2825.0,,0.1%,,,,
1,"Senior Secured Term Loan B (12.00% plus 7.00% PIK, due 12/31/2020)(3)(46)",12/13/2012,17651,12/13/2012,17651,2825,17651,,0.5%,,,2825.0,,0.1%,,,,
2,"Common Stock (14,857 shares)(16)",12/13/2012,17651,12/13/2012,6759,2825,14213,,0.4%,,,2825.0,,0.1%,,,,
3,"Common Stock (14,857 shares)(16)",12/13/2012,17651,12/13/2012,6759,2825,27235,,34689,,1.0%,2825.0,,0.1%,,,,
4,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,35048,2825,35048,,35048,,1.0%,2825.0,,0.1%,,,,
5,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,63225,2825,63225,,1.9%,,1.0%,2825.0,,0.1%,,,,
6,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2825,44367,,1.3%,,1.0%,2825.0,,0.1%,,,,
7,"Common Stock (102,924 shares)(16)",8/2/2013,"Senior Secured Term Loan (13.34% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",12/29/2017,81203,2825,179476,,142640,,4.2%,2825.0,,0.1%,,,,
8,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,51855,2825,48345,,51855,,1.5%,2825.0,,0.1%,,,,
9,"Class A Units (10,640,642 units)(14)(16)",6/24/2014,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,13731,2825,17477,,0.5%,,1.5%,2825.0,,0.1%,,,,
10,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",6/24/2014,-,2825,1256,,0.1%,,1.5%,2825.0,,0.1%,,,,
