,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,CP Energy Services Inc.(20),Energy Equipment & Services,"Senior Secured Term Loan (13.11% (LIBOR + 11.00% with 1.00% LIBOR floor), due 12/29/2022)(11)",10/1/2017,,35048,,,35048,,,35048.0,,1.1%,,,,,,,,
1,"Senior Secured Term Loan A to Spartan Energy Services, Inc. (10.04% (LIBOR + 8.00% with 1.00% LIBOR floor), due 12/31/2022)(13)",10/20/2014,13156,10/1/2017,13156,35048,13156,,0.4%,,,35048.0,,1.1%,,,,,,,,
2,"Senior Secured Term Loan B to Spartan Energy Services, Inc. (16.04% PIK (LIBOR + 14.00% with 1.00% LIBOR floor), due 12/31/2022)(13)(46)",10/20/2014,22440,10/1/2017,22440,35048,22440,,0.7%,,,35048.0,,1.1%,,,,,,,,
3,"Series B Convertible Preferred Stock (16.00%, 790 shares)(16)",10/30/2015,22440,10/1/2017,63225,35048,56293,,1.7%,,,35048.0,,1.1%,,,,,,,,
4,"Common Stock (102,924 shares)(16)",8/2/2013,22440,10/1/2017,81203,35048,2816,,0.1%,,,35048.0,,1.1%,,,,,,,,
5,"Common Stock (102,924 shares)(16)",8/2/2013,22440,10/1/2017,81203,35048,215072,,129753,,4.0%,35048.0,,1.1%,,,,,,,,
6,"Credit Central Loan Company, LLC(21)",Consumer Finance,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,56862,35048,53616,,56862,,1.8%,35048.0,,1.1%,,,,,,,,
7,"Class A Units (14,867,312 units)(14)(16)",12/28/2012,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,19331,35048,21219,,0.7%,,1.8%,35048.0,,1.1%,,,,,,,,
8,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,-,35048,-,,-%,,1.8%,35048.0,,1.1%,,,,,,,,
9,Net Revenues Interest (25% of Net Revenues)(14)(16),1/28/2015,"Subordinated Term Loan (10.00% plus 10.00% PIK, due 6/26/2024)(14)(46)",12/28/2012,-,35048,72947,,78081,,2.5%,35048.0,,1.1%,,,,,,,,
10,"Echelon Transportation, LLC",Aerospace & Defense,"Senior Secured Term Loan (11.99% (LIBOR + 9.75% with 2.00% LIBOR floor) plus 2.25% PIK, due 3/31/2022)(13)(46)",3/31/2014,39917,35048,39917,,39917,,1.2%,35048.0,,1.1%,,,,,,,,
11,"Senior Secured Term Loan (11.24% (LIBOR + 9.00% with 2.00% LIBOR floor) plus 1.00% PIK, due 12/7/2024)(13)(46)",12/9/2016,19198,3/31/2014,19198,35048,19198,,0.6%,,1.2%,35048.0,,1.1%,,,,,,,,
12,Membership Interest (100%)(16),3/31/2014,19198,3/31/2014,22738,35048,31279,,1.0%,,1.2%,35048.0,,1.1%,,,,,,,,
13,Membership Interest (100%)(16),3/31/2014,19198,3/31/2014,22738,35048,81853,,90394,,2.8%,35048.0,,1.1%,,,,,,,,
14,First Tower Finance Company LLC(23),Consumer Finance,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,278043,35048,278043,,278043,,8.5%,35048.0,,1.1%,,,,,,,,
15,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,81146,35048,218976,,6.7%,,8.5%,35048.0,,1.1%,,,,,,,,
16,"Class A Units (95,709,910 units)(14)(16)",6/14/2012,"Subordinated Term Loan to First Tower, LLC (10.00% plus 10.50% PIK, due 6/24/2024)(14)(46)",6/24/2014,81146,35048,359189,,497019,,15.2%,35048.0,,1.1%,,,,,,,,
17,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,81146,35048,43892,,14920,,0.5%,35048.0,,1.1%,,,,,,,,
18,"Freedom Marine Solutions, LLC(24)",Energy Equipment & Services,Membership Interest (100%)(16),11/9/2006,81146,35048,43892,,14920,,0.5%,35048.0,,1.1%,,,,,,,,
19,"InterDent, Inc.(29)",Health Care Providers & Services,"Senior Secured Term Loan A/B (7.10% (LIBOR + 5.05% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/1/2018,14000,35048,14000,,14000,,0.4%,35048.0,,1.1%,,,,,,,,
20,"Senior Secured Term Loan A (7.55% (LIBOR + 5.50% with 0.75% LIBOR floor), due 9/5/2020)(13)",8/3/2012,77994,8/1/2018,77994,35048,77994,,2.4%,,0.4%,35048.0,,1.1%,,,,,,,,
21,"Senior Secured Term Loan B (10.00% PIK, due 9/5/2020)(46)",8/3/2012,119143,8/1/2018,119143,35048,114888,,3.5%,,0.4%,35048.0,,1.1%,,,,,,,,
22,"Senior Secured Term Loan C (18.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",3/22/2018,42794,8/1/2018,35766,35048,-,,-%,,0.4%,35048.0,,1.1%,,,,,,,,
23,"Senior Secured Term Loan D (1.00% PIK, in non-accrual status effective 10/1/2018, due 9/5/2020)",9/19/2018,5052,8/1/2018,5001,35048,-,,-%,,0.4%,35048.0,,1.1%,,,,,,,,
24,"Common Stock (99,900 shares)(16)",5/3/2019,5052,8/1/2018,1,35048,-,,-%,,0.4%,35048.0,,1.1%,,,,,,,,
25,"Common Stock (99,900 shares)(16)",5/3/2019,5052,8/1/2018,1,35048,251905,,206882,,6.3%,35048.0,,1.1%,,,,,,,,
26,Portfolio Company,Industry,Investments(1)(44),Acquisition Date(51),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,206882,,6.3%,35048.0,,1.1%,,,,,,,,
27,"KRPR, LLC",Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,Principal Value,Amortized Cost,Fair  Value(2),2350,206882,,4502,35048.0,0.1%,1.1%,,,,,,,,
28,"KRPR, LLC",Diversified Consumer Services,Membership Interest (100%)(16),8/26/2019,Principal Value,Amortized Cost,2350,2350,4502,,0.1%,35048.0,0.1%,1.1%,,,,,,,,
29,"MITY, Inc.(25)",Commercial Services & Supplies,"Senior Secured Note A (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor), due 1/30/2020)(3)(11)",9/19/2013,Principal Value,26250,2350,26250,4502,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,,
30,"Senior Secured Note B (10.00% (LIBOR + 7.00% with 3.00% LIBOR floor) plus 10.00% PIK, due 6/30/2020)(3)(11)(46)",9/19/2013,30599,9/19/2013,30599,26250,21114,26250,0.7%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,,
31,"Subordinated Unsecured Note to Broda Enterprises ULC (10.00%, due 1/1/2028)(14)",9/19/2013,5568,9/19/2013,6772,26250,-,26250,-%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,,
32,"Common Stock (42,053 shares)(16)",9/19/2013,5568,9/19/2013,6849,26250,-,26250,-%,26250,0.1%,0.8%,0.1%,1.1%,,,,,,,,
33,"Common Stock (42,053 shares)(16)",9/19/2013,5568,9/19/2013,6849,26250,70470,26250,47364,26250,1.5%,0.8%,0.1%,1.1%,,,,,,,,
34,National Property REIT Corp.(26),Equity Real Estate Investment Trusts (REITs) / Online Lending,"Senior Secured Term Loan A (6.50% (LIBOR + 3.50% with 3.00% LIBOR floor) plus 5.00% PIK, due 12/31/2023)(11)(46)",12/31/2018,433553,26250,433553,26250,433553,26250,13.3%,0.8%,0.1%,1.1%,,,,,,,,
35,"Senior Secured Term Loan B (5.00% (LIBOR + 2.00% with 3.00% LIBOR floor) plus 5.50% PIK, due 12/31/2023)(11)(46)",12/31/2018,111317,12/31/2018,111317,26250,111317,26250,3.4%,26250,13.3%,0.8%,0.1%,1.1%,,,,,,,,
36,Residual Profit Interest (8.33% of Residual Profit),12/31/2018,111317,12/31/2018,-,26250,35162,26250,1.1%,26250,13.3%,0.8%,0.1%,1.1%,,,,,,,,
37,"Common Stock (3,110,101 shares)(52)",12/31/2013,111317,12/31/2018,163836,26250,388950,26250,11.9%,26250,13.3%,0.8%,0.1%,1.1%,,,,,,,,
38,"Common Stock (3,110,101 shares)(52)",12/31/2013,111317,12/31/2018,163836,26250,708706,26250,968982,26250,29.7%,0.8%,0.1%,1.1%,,,,,,,,
39,Nationwide Loan Company LLC(27),Consumer Finance,"Senior Subordinated Term Loan to Nationwide Acceptance LLC (10.00% plus 10.00% PIK, due 6/18/2020)(14)(46)",6/18/2014,18932,26250,18932,26250,18932,26250,0.6%,0.8%,0.1%,1.1%,,,,,,,,
